time_sec,hour_of_day,power_mw,wind_speed_mph
2740,0.76,14.233,11.93
2750,0.76,13.778,11.74
2760,0.77,13.863,11.77
2770,0.77,14.325,11.97
2780,0.77,13.974,11.82
2790,0.78,14.714,12.13
2800,0.78,14.89,12.2
2810,0.78,14.615,12.09
2820,0.78,14.708,12.13
2830,0.79,14.371,11.99
2840,0.79,14.536,12.06
2850,0.79,15.0,12.25
2860,0.79,14.868,12.19
2870,0.8,14.173,11.9
2880,0.8,14.248,11.94
2890,0.8,14.229,11.93
2900,0.81,14.265,11.94
2910,0.81,14.213,11.92
2920,0.81,13.697,11.7
2930,0.81,13.617,11.67
2940,0.82,13.912,11.8
2950,0.82,14.049,11.85
2960,0.82,14.274,11.95
2970,0.82,14.168,11.9
2980,0.83,14.656,12.11
2990,0.83,14.558,12.07
3000,0.83,14.626,12.09
3010,0.84,14.508,12.05
3020,0.84,14.037,11.85
3030,0.84,13.946,11.81
3040,0.84,13.911,11.79
3050,0.85,13.401,11.58
3060,0.85,13.355,11.56
3070,0.85,13.544,11.64
3080,0.86,13.371,11.56
3090,0.86,13.602,11.66
3100,0.86,13.824,11.76
3110,0.86,13.982,11.82
3120,0.87,13.862,11.77
3130,0.87,14.233,11.93
3140,0.87,14.021,11.84
3150,0.88,13.507,11.62
3160,0.88,13.392,11.57
3170,0.88,13.524,11.63
3180,0.88,13.287,11.53
3190,0.89,13.254,11.51
3200,0.89,12.85,11.34
3210,0.89,12.808,11.32
3220,0.89,12.618,11.23
3230,0.9,13.257,11.51
3240,0.9,13.396,11.57
3250,0.9,13.665,11.69
3260,0.91,13.559,11.64
3270,0.91,13.61,11.67
3280,0.91,13.811,11.75
3290,0.91,13.375,11.57
3300,0.92,13.225,11.5
3310,0.92,12.595,11.22
3320,0.92,12.888,11.35
3330,0.93,13.203,11.49
3340,0.93,12.976,11.39
3350,0.93,12.621,11.23
3360,0.93,12.855,11.34
3370,0.94,12.959,11.38
3380,0.94,12.887,11.35
3390,0.94,13.245,11.51
3400,0.94,13.041,11.42
3410,0.95,13.019,11.41
3420,0.95,12.481,11.17
3430,0.95,12.486,11.17
3440,0.96,12.536,11.2
3450,0.96,12.261,11.07
3460,0.96,12.323,11.1
3470,0.96,12.398,11.13
3480,0.97,12.063,10.98
3490,0.97,11.81,10.87
3500,0.97,11.827,10.88
3510,0.97,11.925,10.92
3520,0.98,11.795,10.86
3530,0.98,11.242,10.6
3540,0.98,11.187,10.58
3550,0.99,11.249,10.61
3560,0.99,11.165,10.57
3570,0.99,10.914,10.45
3580,0.99,11.193,10.58
3590,1.0,11.041,10.51
3600,1.0,11.597,10.77
3610,1.0,11.765,10.85
3620,1.01,11.925,10.92
3630,1.01,11.981,10.95
3640,1.01,12.246,11.07
3650,1.01,12.164,11.03
3660,1.02,12.197,11.04
3670,1.02,12.206,11.05
3680,1.02,11.715,10.82
3690,1.02,12.228,11.06
3700,1.03,12.16,11.03
3710,1.03,12.327,11.1
3720,1.03,11.944,10.93
3730,1.04,11.92,10.92
3740,1.04,11.772,10.85
3750,1.04,11.901,10.91
3760,1.04,11.984,10.95
3770,1.05,11.355,10.66
3780,1.05,11.013,10.49
3790,1.05,10.977,10.48
3800,1.06,10.372,10.18
3810,1.06,10.223,10.11
3820,1.06,10.397,10.2
3830,1.06,10.101,10.05
3840,1.07,9.811,9.91
3850,1.07,9.407,9.7
3860,1.07,9.94,9.97
3870,1.07,9.867,9.93
3880,1.08,9.277,9.63
3890,1.08,9.695,9.85
3900,1.08,9.913,9.96
3910,1.09,9.556,9.78
3920,1.09,8.815,9.39
3930,1.09,8.558,9.25
3940,1.09,8.524,9.23
3950,1.1,8.715,9.34
3960,1.1,9.062,9.52
3970,1.1,8.813,9.39
3980,1.11,9.009,9.49
3990,1.11,8.581,9.26
4000,1.11,8.868,9.42
4010,1.11,8.864,9.41
4020,1.12,9.296,9.64
4030,1.12,9.732,9.87
4040,1.12,9.837,9.92
4050,1.12,9.813,9.91
4060,1.13,9.672,9.83
4070,1.13,9.937,9.97
4080,1.13,10.066,10.03
4090,1.14,9.643,9.82
4100,1.14,9.897,9.95
4110,1.14,10.131,10.07
4120,1.14,10.391,10.19
4130,1.15,10.035,10.02
4140,1.15,10.633,10.31
4150,1.15,11.262,10.61
4160,1.16,10.701,10.34
4170,1.16,10.293,10.15
4180,1.16,10.308,10.15
4190,1.16,10.484,10.24
4200,1.17,10.461,10.23
4210,1.17,10.895,10.44
4220,1.17,10.879,10.43
4230,1.18,11.157,10.56
4240,1.18,10.9,10.44
4250,1.18,11.072,10.52
4260,1.18,11.156,10.56
4270,1.19,10.876,10.43
4280,1.19,10.486,10.24
4290,1.19,10.097,10.05
4300,1.19,10.144,10.07
4310,1.2,10.045,10.02
4320,1.2,9.227,9.61
4330,1.2,8.782,9.37
4340,1.21,8.866,9.42
4350,1.21,9.039,9.51
4360,1.21,9.275,9.63
4370,1.21,8.896,9.43
4380,1.22,8.875,9.42
4390,1.22,9.729,9.86
4400,1.22,9.901,9.95
4410,1.23,9.873,9.94
4420,1.23,10.181,10.09
4430,1.23,10.43,10.21
4440,1.23,10.055,10.03
4450,1.24,10.334,10.17
4460,1.24,10.447,10.22
4470,1.24,9.911,9.96
4480,1.24,9.829,9.91
4490,1.25,9.473,9.73
4500,1.25,9.599,9.8
4510,1.25,9.238,9.61
4520,1.26,9.619,9.81
4530,1.26,9.117,9.55
4540,1.26,9.509,9.75
4550,1.26,9.829,9.91
4560,1.27,9.984,9.99
4570,1.27,9.933,9.97
4580,1.27,9.858,9.93
4590,1.27,9.621,9.81
4600,1.28,9.594,9.79
4610,1.28,9.808,9.9
4620,1.28,9.708,9.85
4630,1.29,9.916,9.96
4640,1.29,9.812,9.91
4650,1.29,9.45,9.72
4660,1.29,9.412,9.7
4670,1.3,9.707,9.85
4680,1.3,9.685,9.84
4690,1.3,9.767,9.88
4700,1.31,10.556,10.27
4710,1.31,10.797,10.39
4720,1.31,10.634,10.31
4730,1.31,10.842,10.41
4740,1.32,10.85,10.42
4750,1.32,10.543,10.27
4760,1.32,11.117,10.54
4770,1.32,10.956,10.47
4780,1.33,10.992,10.48
4790,1.33,10.571,10.28
4800,1.33,10.577,10.28
4810,1.34,10.372,10.18
4820,1.34,10.399,10.2
4830,1.34,10.508,10.25
4840,1.34,10.356,10.18
4850,1.35,10.701,10.34
4860,1.35,11.436,10.69
4870,1.35,11.545,10.74
4880,1.36,11.805,10.86
4890,1.36,12.296,11.09
4900,1.36,12.193,11.04
4910,1.36,11.652,10.79
4920,1.37,11.839,10.88
4930,1.37,11.879,10.9
4940,1.37,11.862,10.89
4950,1.38,11.798,10.86
4960,1.38,11.235,10.6
4970,1.38,11.681,10.81
4980,1.38,11.52,10.73
4990,1.39,11.308,10.63
5000,1.39,10.798,10.39
5010,1.39,10.491,10.24
5020,1.39,10.314,10.16
5030,1.4,10.592,10.29
5040,1.4,10.605,10.3
5050,1.4,10.728,10.36
5060,1.41,10.9,10.44
5070,1.41,10.509,10.25
5080,1.41,10.365,10.18
5090,1.41,10.118,10.06
5100,1.42,10.53,10.26
5110,1.42,9.741,9.87
5120,1.42,10.586,10.29
5130,1.43,10.637,10.31
5140,1.43,10.624,10.31
5150,1.43,10.758,10.37
5160,1.43,10.763,10.37
5170,1.44,10.763,10.37
5180,1.44,10.544,10.27
5190,1.44,10.248,10.12
5200,1.44,10.603,10.3
5210,1.45,10.039,10.02
5220,1.45,9.938,9.97
5230,1.45,10.175,10.09
5240,1.46,10.035,10.02
5250,1.46,10.103,10.05
5260,1.46,10.027,10.01
5270,1.46,9.973,9.99
5280,1.47,10.025,10.01
5290,1.47,10.239,10.12
5300,1.47,10.296,10.15
5310,1.48,10.075,10.04
5320,1.48,9.679,9.84
5330,1.48,9.578,9.79
5340,1.48,9.583,9.79
5350,1.49,9.328,9.66
5360,1.49,9.542,9.77
5370,1.49,9.926,9.96
5380,1.49,10.369,10.18
5390,1.5,10.616,10.3
5400,1.5,10.701,10.34
5410,1.5,11.114,10.54
5420,1.51,11.257,10.61
5430,1.51,11.48,10.71
5440,1.51,11.67,10.8
5450,1.51,11.859,10.89
5460,1.52,11.747,10.84
5470,1.52,11.487,10.72
5480,1.52,10.936,10.46
5490,1.52,11.438,10.69
5500,1.53,11.881,10.9
5510,1.53,11.764,10.85
5520,1.53,11.744,10.84
5530,1.54,11.588,10.76
5540,1.54,11.638,10.79
5550,1.54,11.73,10.83
5560,1.54,12.104,11.0
5570,1.55,11.588,10.76
5580,1.55,11.749,10.84
5590,1.55,11.888,10.9
5600,1.56,11.576,10.76
5610,1.56,12.296,11.09
5620,1.56,11.806,10.87
5630,1.56,11.98,10.95
5640,1.57,11.364,10.66
5650,1.57,11.379,10.67
5660,1.57,11.196,10.58
5670,1.57,10.906,10.44
5680,1.58,11.008,10.49
5690,1.58,11.122,10.55
5700,1.58,10.687,10.34
5710,1.59,10.026,10.01
5720,1.59,9.691,9.84
5730,1.59,9.603,9.8
5740,1.59,9.725,9.86
5750,1.6,9.802,9.9
5760,1.6,10.238,10.12
5770,1.6,10.001,10.0
5780,1.61,10.128,10.06
5790,1.61,9.924,9.96
5800,1.61,9.987,9.99
5810,1.61,9.873,9.94
5820,1.62,9.702,9.85
5830,1.62,9.501,9.75
5840,1.62,9.366,9.68
5850,1.62,9.478,9.74
5860,1.63,9.631,9.81
5870,1.63,9.868,9.93
5880,1.63,9.979,9.99
5890,1.64,9.818,9.91
5900,1.64,10.247,10.12
5910,1.64,10.276,10.14
5920,1.64,10.544,10.27
5930,1.65,11.132,10.55
5940,1.65,11.549,10.75
5950,1.65,11.501,10.72
5960,1.66,11.181,10.57
5970,1.66,10.681,10.34
5980,1.66,10.403,10.2
5990,1.66,10.573,10.28
6000,1.67,10.831,10.41
6010,1.67,11.316,10.64
6020,1.67,11.515,10.73
6030,1.68,11.238,10.6
6040,1.68,11.429,10.69
6050,1.68,11.461,10.71
6060,1.68,11.546,10.75
6070,1.69,11.284,10.62
6080,1.69,10.549,10.27
6090,1.69,10.182,10.09
6100,1.69,9.993,10.0
6110,1.7,9.935,9.97
6120,1.7,10.077,10.04
6130,1.7,9.744,9.87
6140,1.71,9.997,10.0
6150,1.71,10.26,10.13
6160,1.71,10.457,10.23
6170,1.71,10.379,10.19
6180,1.72,10.827,10.41
6190,1.72,10.629,10.31
6200,1.72,10.292,10.14
6210,1.73,9.997,10.0
6220,1.73,10.127,10.06
6230,1.73,10.118,10.06
6240,1.73,9.959,9.98
6250,1.74,9.744,9.87
6260,1.74,9.711,9.85
6270,1.74,9.65,9.82
6280,1.74,10.046,10.02
6290,1.75,9.979,9.99
6300,1.75,10.128,10.06
6310,1.75,10.323,10.16
6320,1.76,10.385,10.19
6330,1.76,10.334,10.17
6340,1.76,10.353,10.17
6350,1.76,10.271,10.13
6360,1.77,10.241,10.12
6370,1.77,9.89,9.94
6380,1.77,10.209,10.1
6390,1.77,10.698,10.34
6400,1.78,10.81,10.4
6410,1.78,10.298,10.15
6420,1.78,10.32,10.16
6430,1.79,10.073,10.04
6440,1.79,10.315,10.16
6450,1.79,10.387,10.19
6460,1.79,10.197,10.1
6470,1.8,10.63,10.31
6480,1.8,10.756,10.37
6490,1.8,11.16,10.56
6500,1.81,11.773,10.85
6510,1.81,11.542,10.74
6520,1.81,11.674,10.8
6530,1.81,11.325,10.64
6540,1.82,11.126,10.55
6550,1.82,11.67,10.8
6560,1.82,11.362,10.66
6570,1.82,11.903,10.91
6580,1.83,11.862,10.89
6590,1.83,11.597,10.77
6600,1.83,11.142,10.56
6610,1.84,10.802,10.39
6620,1.84,11.276,10.62
6630,1.84,11.052,10.51
6640,1.84,11.1,10.54
6650,1.85,11.239,10.6
6660,1.85,11.277,10.62
6670,1.85,11.481,10.71
6680,1.86,11.843,10.88
6690,1.86,11.527,10.74
6700,1.86,11.154,10.56
6710,1.86,11.032,10.5
6720,1.87,11.341,10.65
6730,1.87,11.079,10.53
6740,1.87,11.096,10.53
6750,1.88,11.403,10.68
6760,1.88,11.275,10.62
6770,1.88,10.839,10.41
6780,1.88,11.075,10.52
6790,1.89,10.567,10.28
6800,1.89,10.373,10.18
6810,1.89,10.399,10.2
6820,1.89,10.57,10.28
6830,1.9,9.693,9.85
6840,1.9,10.092,10.05
6850,1.9,9.984,9.99
6860,1.91,9.952,9.98
6870,1.91,9.695,9.85
6880,1.91,9.654,9.83
6890,1.91,9.953,9.98
6900,1.92,10.067,10.03
6910,1.92,10.485,10.24
6920,1.92,10.554,10.27
6930,1.93,10.564,10.28
6940,1.93,10.565,10.28
6950,1.93,10.469,10.23
6960,1.93,10.159,10.08
6970,1.94,9.625,9.81
6980,1.94,9.522,9.76
6990,1.94,9.09,9.53
7000,1.94,9.402,9.7
7010,1.95,9.713,9.86
7020,1.95,9.576,9.79
7030,1.95,10.359,10.18
7040,1.96,9.612,9.8
7050,1.96,9.921,9.96
7060,1.96,10.241,10.12
7070,1.96,10.342,10.17
7080,1.97,10.08,10.04
7090,1.97,10.052,10.03
7100,1.97,10.007,10.0
7110,1.98,9.98,9.99
7120,1.98,10.387,10.19
7130,1.98,9.817,9.91
7140,1.98,9.928,9.96
7150,1.99,10.053,10.03
7160,1.99,9.588,9.79
7170,1.99,9.425,9.71
7180,1.99,9.517,9.76
7190,2.0,9.025,9.5
7200,2.0,9.524,9.76
7210,2.0,9.637,9.82
7220,2.01,9.764,9.88
7230,2.01,9.689,9.84
7240,2.01,10.637,10.31
7250,2.01,10.732,10.36
7260,2.02,11.013,10.49
7270,2.02,10.641,10.32
7280,2.02,10.671,10.33
7290,2.02,10.79,10.39
7300,2.03,11.324,10.64
7310,2.03,11.198,10.58
7320,2.03,10.926,10.45
7330,2.04,10.861,10.42
7340,2.04,10.961,10.47
7350,2.04,11.432,10.69
7360,2.04,11.244,10.6
7370,2.05,10.888,10.43
7380,2.05,11.384,10.67
7390,2.05,11.604,10.77
7400,2.06,11.21,10.59
7410,2.06,11.51,10.73
7420,2.06,11.69,10.81
7430,2.06,11.601,10.77
7440,2.07,11.392,10.67
7450,2.07,11.905,10.91
7460,2.07,11.635,10.79
7470,2.08,11.829,10.88
7480,2.08,12.226,11.06
7490,2.08,11.952,10.93
7500,2.08,12.142,11.02
7510,2.09,12.013,10.96
7520,2.09,12.653,11.25
7530,2.09,12.807,11.32
7540,2.09,13.503,11.62
7550,2.1,13.435,11.59
7560,2.1,13.053,11.43
7570,2.1,12.601,11.23
7580,2.11,12.749,11.29
7590,2.11,12.765,11.3
7600,2.11,12.545,11.2
7610,2.11,12.768,11.3
7620,2.12,12.8,11.31
7630,2.12,12.905,11.36
7640,2.12,12.611,11.23
7650,2.12,12.402,11.14
7660,2.13,12.729,11.28
7670,2.13,12.848,11.33
7680,2.13,12.735,11.28
7690,2.14,12.312,11.1
7700,2.14,12.647,11.25
7710,2.14,12.471,11.17
7720,2.14,12.48,11.17
7730,2.15,12.443,11.15
7740,2.15,11.818,10.87
7750,2.15,11.71,10.82
7760,2.16,11.525,10.74
7770,2.16,11.598,10.77
7780,2.16,11.683,10.81
7790,2.16,11.837,10.88
7800,2.17,12.018,10.96
7810,2.17,12.001,10.96
7820,2.17,11.845,10.88
7830,2.17,12.153,11.02
7840,2.18,12.072,10.99
7850,2.18,11.96,10.94
7860,2.18,12.375,11.12
7870,2.19,12.395,11.13
7880,2.19,12.267,11.08
7890,2.19,12.538,11.2
7900,2.19,12.499,11.18
7910,2.2,12.256,11.07
7920,2.2,11.835,10.88
7930,2.2,11.86,10.89
7940,2.21,12.322,11.1
7950,2.21,12.29,11.09
7960,2.21,11.984,10.95
7970,2.21,11.822,10.87
7980,2.22,11.495,10.72
7990,2.22,10.91,10.45
8000,2.22,10.891,10.44
8010,2.23,10.821,10.4
8020,2.23,10.778,10.38
8030,2.23,10.078,10.04
8040,2.23,9.858,9.93
8050,2.24,9.588,9.79
8060,2.24,9.412,9.7
8070,2.24,9.229,9.61
8080,2.24,9.264,9.62
8090,2.25,9.065,9.52
8100,2.25,8.643,9.3
8110,2.25,8.837,9.4
8120,2.26,9.132,9.56
8130,2.26,9.426,9.71
8140,2.26,9.911,9.96
8150,2.26,9.999,10.0
8160,2.27,10.024,10.01
8170,2.27,10.107,10.05
8180,2.27,9.987,9.99
8190,2.27,10.316,10.16
8200,2.28,10.497,10.25
8210,2.28,10.271,10.13
8220,2.28,10.32,10.16
8230,2.29,10.337,10.17
8240,2.29,10.052,10.03
8250,2.29,9.763,9.88
8260,2.29,9.709,9.85
8270,2.3,10.222,10.11
8280,2.3,9.76,9.88
8290,2.3,9.923,9.96
8300,2.31,9.514,9.75
8310,2.31,9.439,9.72
8320,2.31,9.328,9.66
8330,2.31,9.362,9.68
8340,2.32,9.378,9.68
8350,2.32,8.943,9.46
8360,2.32,8.539,9.24
8370,2.33,8.713,9.33
8380,2.33,8.95,9.46
8390,2.33,8.689,9.32
8400,2.33,9.079,9.53
8410,2.34,8.766,9.36
8420,2.34,8.778,9.37
8430,2.34,8.803,9.38
8440,2.34,9.374,9.68
8450,2.35,8.939,9.45
8460,2.35,9.329,9.66
8470,2.35,9.301,9.64
8480,2.36,9.594,9.79
8490,2.36,9.827,9.91
8500,2.36,9.534,9.76
8510,2.36,9.416,9.7
8520,2.37,9.227,9.61
8530,2.37,8.903,9.44
8540,2.37,9.341,9.66
8550,2.38,9.123,9.55
8560,2.38,9.558,9.78
8570,2.38,9.364,9.68
8580,2.38,9.387,9.69
8590,2.39,8.915,9.44
8600,2.39,8.954,9.46
8610,2.39,9.231,9.61
8620,2.39,9.563,9.78
8630,2.4,9.148,9.56
8640,2.4,9.058,9.52
8650,2.4,9.117,9.55
8660,2.41,8.907,9.44
8670,2.41,8.425,9.18
8680,2.41,8.465,9.2
8690,2.41,8.595,9.27
8700,2.42,9.295,9.64
8710,2.42,9.548,9.77
8720,2.42,9.498,9.75
8730,2.42,9.381,9.69
8740,2.43,9.712,9.85
8750,2.43,9.595,9.8
8760,2.43,9.529,9.76
8770,2.44,9.588,9.79
8780,2.44,9.65,9.82
8790,2.44,9.444,9.72
8800,2.44,10.073,10.04
8810,2.45,10.709,10.35
8820,2.45,10.563,10.28
8830,2.45,10.419,10.21
8840,2.46,10.798,10.39
8850,2.46,11.047,10.51
8860,2.46,10.941,10.46
8870,2.46,10.607,10.3
8880,2.47,10.587,10.29
8890,2.47,10.327,10.16
8900,2.47,10.358,10.18
8910,2.48,9.876,9.94
8920,2.48,9.364,9.68
8930,2.48,9.254,9.62
8940,2.48,9.36,9.67
8950,2.49,10.104,10.05
8960,2.49,10.085,10.04
8970,2.49,10.185,10.09
8980,2.49,10.519,10.26
8990,2.5,10.531,10.26
9000,2.5,10.504,10.25
9010,2.5,11.285,10.62
9020,2.51,11.532,10.74
9030,2.51,11.331,10.64
9040,2.51,11.653,10.79
9050,2.51,11.519,10.73
9060,2.52,11.814,10.87
9070,2.52,11.816,10.87
9080,2.52,11.338,10.65
9090,2.52,11.293,10.63
9100,2.53,11.506,10.73
9110,2.53,11.578,10.76
9120,2.53,10.949,10.46
9130,2.54,11.081,10.53
9140,2.54,10.591,10.29
9150,2.54,10.46,10.23
9160,2.54,10.221,10.11
9170,2.55,10.255,10.13
9180,2.55,10.249,10.12
9190,2.55,10.268,10.13
9200,2.56,10.055,10.03
9210,2.56,9.846,9.92
9220,2.56,9.148,9.56
9230,2.56,8.602,9.27
9240,2.57,9.131,9.56
9250,2.57,9.269,9.63
9260,2.57,9.014,9.49
9270,2.58,9.648,9.82
9280,2.58,9.475,9.73
9290,2.58,9.359,9.67
9300,2.58,9.241,9.61
9310,2.59,9.037,9.51
9320,2.59,9.296,9.64
9330,2.59,9.877,9.94
9340,2.59,10.121,10.06
9350,2.6,10.292,10.14
