time_sec,grid_power_mw,gas1_power_mw,gas2_power_mw,gas3_power_mw,wind_power_mw,solar_power_mw,bess_soc_percent,bess_power_mw,critical1_load_mw,critical2_load_mw,hvac_load_mw,aux_load_mw,total_load_mw
1680,15.0,8.5,8.5,8.31,2.1,0.0,79.0,1.26,18.28,18.95,3.02,3.42,43.68
1740,15.0,8.5,8.5,8.18,2.27,0.0,78.8,1.24,18.47,18.43,3.34,3.45,43.69
1800,15.0,8.5,8.5,8.26,2.3,0.0,78.6,1.24,18.59,18.99,3.34,2.87,43.8
1860,15.0,8.5,8.5,7.87,2.18,0.0,78.4,1.25,18.05,18.26,3.31,3.69,43.3
1920,15.0,8.5,8.5,8.45,2.38,0.0,78.2,1.23,18.7,18.93,3.23,3.2,44.05
1980,15.0,8.5,8.5,7.2,2.37,0.0,78.0,1.22,18.59,18.11,3.32,2.78,42.79
2040,15.0,8.5,8.5,8.06,2.19,0.0,77.8,1.25,18.52,18.08,3.2,3.69,43.5
2100,15.0,8.5,8.5,8.38,2.15,0.0,77.6,1.25,18.42,18.74,3.33,3.29,43.78
2160,15.0,8.5,8.5,8.58,2.15,0.0,77.4,1.26,18.65,18.93,3.35,3.05,43.98
2220,15.0,8.5,8.5,7.62,2.23,0.0,77.2,1.24,18.4,18.39,3.32,2.98,43.09
2280,15.0,8.5,8.5,7.97,2.18,0.0,77.0,1.25,18.38,18.57,3.05,3.4,43.4
2340,15.0,8.5,8.5,8.41,2.18,0.0,76.7,1.25,18.7,18.62,3.22,3.3,43.84
2400,15.0,8.5,8.5,8.21,2.22,0.0,76.5,1.25,18.61,18.8,3.0,3.27,43.68
2460,15.0,8.5,8.5,7.14,2.16,0.0,76.3,1.25,18.23,18.18,3.1,3.03,42.55
2520,15.0,8.5,8.5,7.52,2.21,0.0,76.1,1.24,18.15,18.67,3.26,2.89,42.97
2580,15.0,8.5,8.5,8.6,2.28,0.0,75.9,1.24,18.9,18.51,3.02,3.68,44.12
2640,15.0,8.5,8.5,7.43,2.39,0.0,75.7,1.22,18.12,18.99,3.14,2.79,43.04
2700,15.0,8.5,8.5,7.22,2.47,0.0,75.5,1.21,18.42,18.06,3.33,3.09,42.9
2760,15.0,8.5,8.5,7.37,2.56,0.0,75.3,1.2,18.45,18.13,3.0,3.55,43.14
2820,15.0,8.5,8.5,8.76,2.37,0.0,75.1,1.23,18.66,18.83,3.2,3.68,44.37
2880,15.0,8.5,8.5,8.66,2.38,0.0,74.9,1.23,18.92,18.57,3.39,3.4,44.27
2940,15.0,8.5,8.5,7.56,2.23,0.0,74.7,1.24,18.16,18.8,3.14,2.92,43.02
3000,15.0,8.5,8.5,8.37,2.2,0.0,74.5,1.25,18.53,18.85,3.04,3.41,43.82
3060,15.0,8.5,8.5,7.91,2.26,0.0,74.3,1.24,18.81,18.36,3.02,3.22,43.4
3120,15.0,8.5,8.5,7.59,2.39,0.0,74.1,1.22,18.23,18.23,3.21,3.54,43.21
3180,15.0,8.5,8.5,8.03,2.21,0.0,73.9,1.25,18.25,18.66,3.34,3.24,43.49
3240,15.0,8.5,8.5,7.61,2.29,0.0,73.7,1.23,18.06,18.1,3.35,3.62,43.13
3300,15.0,8.5,8.5,7.15,2.33,0.0,73.5,1.23,18.54,18.1,3.08,2.98,42.7
3360,15.0,8.5,8.5,8.14,2.16,0.0,73.2,1.25,18.61,18.11,3.15,3.69,43.55
3420,15.0,8.5,8.5,7.58,2.01,0.0,73.0,1.27,18.45,18.34,3.05,3.02,42.86
3480,15.0,8.5,8.5,8.47,1.96,0.0,72.8,1.28,18.91,18.42,3.27,3.11,43.71
3540,15.0,8.5,8.5,8.5,2.02,0.0,72.6,1.27,18.74,18.09,3.32,3.64,43.79
3600,15.0,8.5,8.5,7.32,2.06,0.0,72.4,1.26,18.04,18.83,3.0,2.78,42.64
3660,15.0,8.5,8.5,8.36,2.13,0.0,72.2,1.26,18.27,18.7,3.21,3.57,43.74
3720,15.0,8.5,8.5,8.54,2.18,0.0,72.0,1.25,18.64,18.8,3.36,3.17,43.97
3780,15.0,8.5,8.5,8.85,2.13,0.0,71.8,1.26,18.58,18.96,3.15,3.56,44.24
3840,15.0,8.5,8.5,8.41,2.28,0.0,71.6,1.24,18.72,18.44,3.26,3.51,43.93
3900,15.0,8.5,8.5,8.07,2.34,0.0,71.4,1.23,18.41,18.28,3.28,3.68,43.65
3960,15.0,8.5,8.5,8.67,2.35,0.0,71.2,1.23,18.56,18.82,3.28,3.59,44.25
4020,15.0,8.5,8.5,8.09,2.22,0.0,70.9,1.25,18.66,18.89,3.17,2.83,43.55
4080,15.0,8.5,8.5,7.3,2.19,0.0,70.7,1.24,18.46,18.17,3.27,2.83,42.74
4140,15.0,8.5,8.5,8.22,2.14,0.0,70.5,1.25,18.74,18.45,3.05,3.38,43.61
4200,15.0,8.5,8.5,9.23,2.08,0.0,70.3,1.27,18.87,18.63,3.35,3.72,44.58
4260,15.0,8.5,8.5,8.69,2.07,0.0,70.1,1.26,18.93,18.47,3.06,3.56,44.03
4320,15.0,8.5,8.5,6.99,2.18,0.0,69.9,1.24,18.12,18.36,3.0,2.92,42.41
4380,15.0,8.5,8.5,7.83,2.25,0.0,69.7,1.24,18.57,18.24,3.08,3.43,43.32
4440,15.0,8.5,8.5,8.38,2.38,0.0,69.5,1.23,18.69,18.68,3.06,3.56,43.99
4500,15.0,8.5,8.5,8.42,2.27,0.0,69.3,1.24,18.8,18.35,3.32,3.46,43.93
4560,15.0,8.5,8.5,7.32,2.43,0.0,69.1,1.22,18.16,18.48,3.4,2.94,42.97
4620,15.0,8.5,8.5,7.74,2.44,0.0,68.9,1.22,18.53,18.45,3.36,3.06,43.4
4680,15.0,8.5,8.5,7.8,2.35,0.0,68.7,1.23,18.07,18.72,3.26,3.32,43.38
4740,15.0,8.5,8.5,7.34,2.21,0.0,68.5,1.24,18.32,18.18,3.16,3.13,42.78
4800,15.0,8.5,8.5,8.33,2.36,0.0,68.3,1.23,18.75,18.62,3.11,3.44,43.92
4860,15.0,8.5,8.5,8.33,2.3,0.0,68.1,1.24,18.2,18.94,3.08,3.66,43.87
4920,15.0,8.5,8.5,8.36,2.1,0.0,67.8,1.26,18.71,18.91,3.06,3.04,43.72
4980,15.0,8.5,8.5,7.84,2.19,0.0,67.6,1.25,18.58,18.17,3.33,3.19,43.27
5040,15.0,8.5,8.5,7.7,2.2,0.0,67.4,1.24,18.13,18.57,3.16,3.29,43.15
5100,15.0,8.5,8.5,7.54,2.08,0.0,67.2,1.26,18.72,18.1,3.03,3.02,42.88
5160,15.0,8.5,8.5,7.62,2.16,0.0,67.0,1.25,18.36,18.15,3.26,3.26,43.03
5220,15.0,8.5,8.5,8.79,2.01,0.0,66.8,1.27,18.23,18.93,3.19,3.72,44.07
5280,15.0,8.5,8.5,7.6,2.15,0.0,66.6,1.25,18.87,18.32,3.04,2.77,43.0
5340,15.0,8.5,8.5,8.78,2.35,0.0,66.4,1.23,18.87,18.56,3.31,3.63,44.37
5400,15.0,8.5,8.5,7.79,2.26,0.0,66.2,1.24,18.97,18.17,3.07,3.08,43.28
5460,15.0,8.5,8.5,8.41,2.16,0.0,66.0,1.25,18.8,18.57,3.12,3.33,43.82
5520,15.0,8.5,8.5,8.18,2.16,0.0,65.8,1.25,18.29,18.76,3.03,3.5,43.59
5580,15.0,8.5,8.5,8.06,2.25,0.0,65.6,1.24,18.55,18.35,3.34,3.31,43.55
5640,15.0,8.5,8.5,7.78,2.2,0.0,65.3,1.25,18.4,18.62,3.0,3.2,43.22
5700,15.0,8.5,8.5,7.35,2.08,0.0,65.1,1.26,18.0,18.04,3.24,3.41,42.69
5760,15.0,8.5,8.5,8.73,1.95,0.0,64.9,1.28,18.89,18.28,3.11,3.68,43.96
5820,15.0,8.5,8.5,6.92,1.97,0.0,64.7,1.27,18.11,18.13,3.09,2.83,42.16
5880,15.0,8.5,8.5,8.59,2.1,0.0,64.5,1.26,18.03,18.98,3.33,3.6,43.95
5940,15.0,8.5,8.5,8.81,2.09,0.0,64.3,1.26,18.85,18.44,3.2,3.68,44.16
6000,15.0,8.5,8.5,7.22,2.25,0.0,64.1,1.24,18.45,18.44,3.05,2.76,42.71
6060,15.0,8.5,8.5,6.85,2.36,0.0,63.9,1.22,18.2,18.28,3.16,2.8,42.44
6120,15.0,8.5,8.5,8.55,2.38,0.0,63.7,1.23,18.75,18.6,3.1,3.71,44.16
6180,15.0,8.5,8.5,7.41,2.44,0.0,63.5,1.22,18.36,18.16,3.1,3.44,43.06
6240,15.0,8.5,8.5,8.1,2.43,0.0,63.3,1.22,18.71,18.2,3.18,3.66,43.75
6300,15.0,8.5,8.5,7.62,2.47,0.0,63.1,1.21,18.2,18.98,3.36,2.77,43.31
6360,15.0,8.5,8.5,7.73,2.54,0.0,62.9,1.21,18.75,18.08,3.1,3.54,43.47
6420,15.0,8.5,8.5,7.8,2.5,0.0,62.7,1.21,18.06,18.54,3.31,3.6,43.51
6480,15.0,8.5,8.5,7.54,2.46,0.0,62.5,1.21,18.21,18.91,3.11,2.99,43.22
6540,15.0,8.5,8.5,8.17,2.29,0.0,62.3,1.24,18.9,18.81,3.05,2.95,43.71
6600,15.0,8.5,8.5,9.01,2.28,0.0,62.0,1.24,18.84,18.75,3.21,3.74,44.54
6660,15.0,8.5,8.5,8.11,2.18,0.0,61.8,1.25,18.18,18.74,3.29,3.33,43.54
6720,15.0,8.5,8.5,7.93,2.27,0.0,61.6,1.24,18.72,18.25,3.27,3.21,43.44
6780,15.0,8.5,8.5,8.16,2.33,0.0,61.4,1.23,18.37,18.99,3.07,3.29,43.73
6840,15.0,8.5,8.5,6.82,2.49,0.0,61.2,1.21,18.21,18.3,3.1,2.91,42.52
6900,15.0,8.5,8.5,8.37,2.31,0.0,61.0,1.24,18.45,19.0,3.28,3.19,43.92
6960,15.0,8.5,8.5,7.13,2.38,0.0,60.8,1.22,18.07,18.06,3.02,3.59,42.73
7020,15.0,8.5,8.5,7.84,2.44,0.0,60.6,1.22,18.72,18.86,3.02,2.9,43.49
7080,15.0,8.5,8.5,7.49,2.44,0.0,60.4,1.22,18.52,18.12,3.34,3.17,43.15
7140,15.0,8.5,8.5,8.37,2.5,0.0,60.2,1.22,18.74,18.85,3.2,3.3,44.09
7200,15.0,8.5,8.5,8.09,2.53,0.0,60.0,1.21,18.65,18.65,3.04,3.49,43.83
7260,15.0,8.5,8.5,6.88,2.56,0.0,59.8,1.2,18.24,18.21,3.31,2.88,42.65
7320,15.0,8.5,8.5,7.82,2.47,0.0,59.6,1.22,18.94,18.51,3.14,2.93,43.51
7380,15.0,8.5,8.5,7.22,2.38,0.0,59.4,1.22,18.64,18.05,3.21,2.92,42.82
7440,15.0,8.5,8.5,8.16,2.44,0.0,59.2,1.22,18.67,18.95,3.22,2.98,43.82
7500,15.0,8.5,8.5,7.34,2.23,0.0,59.0,1.24,18.2,18.64,3.02,2.95,42.81
7560,15.0,8.5,8.5,7.94,2.34,0.0,58.8,1.23,18.17,18.81,3.23,3.29,43.5
7620,15.0,8.5,8.5,8.25,2.25,0.0,58.6,1.24,18.99,18.73,3.05,2.98,43.75
7680,15.0,8.5,8.5,7.36,2.33,0.0,58.4,1.23,18.01,18.37,3.23,3.31,42.93
7740,15.0,8.5,8.5,7.82,2.27,0.0,58.2,1.24,18.28,18.46,3.4,3.19,43.33
7800,15.0,8.5,8.5,8.13,2.11,0.0,58.0,1.26,18.44,18.43,3.05,3.57,43.5
7860,15.0,8.5,8.5,7.37,2.22,0.0,57.7,1.24,18.28,18.19,3.06,3.3,42.83
7920,15.0,8.5,8.5,6.76,2.25,0.0,57.5,1.23,18.05,18.3,3.12,2.78,42.25
7980,15.0,8.5,8.5,8.07,2.38,0.0,57.3,1.23,18.61,18.33,3.17,3.57,43.68
8040,15.0,8.5,8.5,7.99,2.45,0.0,57.1,1.22,18.53,18.65,3.4,3.08,43.66
8100,15.0,8.5,8.5,8.47,2.24,0.0,56.9,1.24,18.94,18.03,3.29,3.69,43.95
8160,15.0,8.5,8.5,6.73,2.2,0.0,56.7,1.24,18.28,18.06,3.04,2.78,42.17
8220,15.0,8.5,8.5,8.4,2.31,0.0,56.5,1.24,18.63,18.45,3.14,3.72,43.95
8280,15.0,8.5,8.5,8.19,2.39,0.0,56.3,1.23,18.8,18.54,3.39,3.08,43.81
8340,15.0,8.5,8.5,7.71,2.33,0.0,56.1,1.23,18.89,18.41,3.04,2.93,43.27
8400,15.0,8.5,8.5,8.47,2.37,0.0,55.9,1.23,18.12,18.84,3.37,3.73,44.07
8460,15.0,8.5,8.5,8.36,2.31,0.0,55.7,1.24,18.78,18.02,3.4,3.71,43.91
8520,15.0,8.5,8.5,7.57,2.14,0.0,55.5,1.25,18.14,18.46,3.26,3.11,42.97
8580,15.0,8.5,8.5,8.26,2.16,0.0,55.3,1.25,18.36,18.7,3.14,3.46,43.67
8640,15.0,8.5,8.5,8.95,2.0,0.0,55.1,1.27,18.8,18.7,3.32,3.41,44.22
8700,15.0,8.5,8.5,7.97,2.02,0.0,54.9,1.27,18.03,18.41,3.28,3.53,43.25
8760,15.0,8.5,8.5,8.68,1.94,0.0,54.6,1.28,18.74,18.73,3.09,3.34,43.9
8820,15.0,8.5,8.5,8.55,1.95,0.0,54.4,1.28,18.87,18.75,3.14,3.02,43.78
8880,15.0,8.5,8.5,7.95,2.03,0.0,54.2,1.27,18.25,18.71,3.15,3.14,43.24
8940,15.0,8.5,8.5,8.12,2.12,0.0,54.0,1.26,18.49,18.63,3.25,3.13,43.5
9000,15.0,8.5,8.5,8.26,2.2,0.0,53.8,1.25,18.72,18.46,3.17,3.35,43.71
9060,15.0,8.5,8.5,7.41,2.23,0.0,53.6,1.24,18.05,18.9,3.13,2.8,42.89
9120,15.0,8.5,8.5,7.94,2.09,0.0,53.4,1.26,18.43,18.57,3.3,2.99,43.29
9180,15.0,8.5,8.5,8.79,2.04,0.0,53.2,1.27,18.42,18.87,3.27,3.54,44.1
9240,15.0,8.5,8.5,7.89,2.26,0.0,53.0,1.24,18.69,18.04,3.39,3.27,43.39
9300,15.0,8.5,8.5,8.22,2.38,0.0,52.8,1.23,18.29,18.55,3.34,3.64,43.82
9360,15.0,8.5,8.5,7.18,2.24,0.0,52.6,1.24,18.26,18.1,3.09,3.21,42.66
9420,15.0,8.5,8.5,6.9,2.12,0.0,52.3,1.25,18.23,18.27,3.01,2.76,42.27
9480,15.0,8.5,8.5,8.16,2.34,0.0,52.1,1.23,18.4,18.59,3.18,3.56,43.74
9540,15.0,8.5,8.5,7.78,2.47,0.0,51.9,1.22,18.9,18.46,3.2,2.91,43.47
9600,15.0,8.5,8.5,8.46,2.29,0.0,51.7,1.24,18.7,18.4,3.19,3.7,43.99
9660,15.0,8.5,8.5,8.56,2.42,0.0,51.5,1.23,18.73,18.48,3.33,3.67,44.2
9720,15.0,8.5,8.5,8.67,2.3,0.0,51.3,1.24,18.74,18.74,3.29,3.44,44.21
9780,15.0,8.5,8.5,8.28,2.34,0.0,51.1,1.23,18.62,18.32,3.19,3.72,43.85
9840,15.0,8.5,8.5,7.75,2.35,0.0,50.9,1.23,18.3,18.21,3.19,3.64,43.33
9900,15.0,8.5,8.5,7.75,2.27,0.0,50.7,1.24,18.09,18.77,3.37,3.02,43.25
9960,15.0,8.5,8.5,8.55,2.19,0.0,50.5,1.25,18.83,18.79,3.2,3.17,43.99
10020,15.0,8.5,8.5,8.27,2.34,0.0,50.3,1.23,18.74,18.47,3.29,3.34,43.84
10080,15.0,8.5,8.5,8.57,2.19,0.0,50.1,1.25,18.92,18.9,3.34,2.86,44.02
10140,15.0,8.5,8.5,7.95,2.31,0.0,49.9,1.23,19.0,18.3,3.09,3.11,43.49
10200,15.0,8.5,8.5,7.83,2.13,0.0,49.7,1.25,18.95,18.42,3.03,2.81,43.22
10260,15.0,8.5,8.5,8.15,2.08,0.0,49.5,1.26,18.59,18.7,3.23,2.96,43.49
10320,15.0,8.5,8.5,8.15,2.28,0.0,49.2,1.24,18.36,18.43,3.25,3.63,43.67
10380,15.0,8.5,8.5,7.6,2.48,0.0,49.0,1.21,18.0,18.97,3.18,3.15,43.3
10440,15.0,8.5,8.5,7.11,2.38,0.0,48.8,1.22,18.02,18.15,3.19,3.35,42.71
10500,15.0,8.5,8.5,7.83,2.4,0.0,48.6,1.22,18.07,18.49,3.15,3.74,43.46
10560,15.0,8.5,8.5,6.9,2.31,0.0,48.4,1.23,18.1,18.17,3.0,3.16,42.44
10620,15.0,8.5,8.5,8.53,2.24,0.0,48.2,1.25,18.85,18.17,3.4,3.6,44.02
10680,15.0,8.5,8.5,7.33,2.13,0.0,48.0,1.25,18.01,18.41,3.04,3.25,42.71
10740,15.0,8.5,8.5,8.24,2.14,0.0,47.8,1.25,18.43,18.39,3.3,3.52,43.64
10800,15.0,8.5,8.5,6.97,2.03,0.0,47.6,1.26,18.05,18.16,3.19,2.87,42.26
10860,15.0,8.5,8.5,8.58,1.98,0.0,47.4,1.27,18.71,18.96,3.36,2.81,43.83
10920,15.0,8.5,8.5,8.21,2.19,0.0,47.2,1.25,18.63,18.25,3.36,3.41,43.65
10980,15.0,8.5,8.5,8.87,2.34,0.0,47.0,1.24,18.98,18.95,3.11,3.41,44.45
11040,15.0,8.5,8.5,7.26,2.42,0.0,46.8,1.22,18.04,18.81,3.16,2.88,42.89
11100,15.0,8.5,8.5,7.86,2.44,0.0,46.6,1.22,18.43,18.83,3.29,2.97,43.52
11160,15.0,8.5,8.5,7.76,2.45,0.0,46.4,1.22,18.84,18.02,3.04,3.53,43.43
11220,15.0,8.5,8.5,7.7,2.38,0.0,46.2,1.23,18.46,18.58,3.18,3.08,43.3
11280,15.0,8.5,8.5,8.66,2.32,0.0,46.0,1.24,18.5,18.83,3.37,3.52,44.22
11340,15.0,8.5,8.5,8.01,2.33,0.0,45.7,1.23,18.83,18.54,3.27,2.92,43.57
11400,15.0,8.5,8.5,8.2,2.16,0.0,45.5,1.25,18.18,18.69,3.32,3.43,43.61
11460,15.0,8.5,8.5,8.47,2.3,0.0,45.3,1.24,18.09,18.8,3.4,3.73,44.01
11520,15.0,8.5,8.5,7.62,2.36,0.0,45.1,1.23,18.0,18.58,3.37,3.25,43.21
11580,15.0,8.5,8.5,7.32,2.42,0.0,44.9,1.22,18.4,18.11,3.07,3.38,42.96
11640,15.0,8.5,8.5,6.82,2.37,0.0,44.7,1.22,18.06,18.16,3.18,3.01,42.41
11700,15.0,8.5,8.5,8.25,2.29,0.0,44.5,1.24,18.96,18.38,3.21,3.23,43.78
11760,15.0,8.5,8.5,8.32,2.14,0.0,44.3,1.26,18.53,18.28,3.23,3.67,43.71
11820,15.0,8.5,8.5,8.14,2.26,0.0,44.1,1.24,18.22,18.93,3.04,3.44,43.64
11880,15.0,8.5,8.5,8.78,2.35,0.0,43.9,1.24,18.78,18.73,3.17,3.69,44.37
11940,15.0,8.5,8.5,7.59,2.29,0.0,43.7,1.23,18.1,18.93,3.05,3.03,43.11
12000,15.0,8.5,8.5,8.34,2.32,0.0,43.5,1.24,18.81,18.61,3.14,3.33,43.89
12060,15.0,8.5,8.5,7.86,2.37,0.0,43.3,1.23,18.36,18.62,3.26,3.22,43.45
12120,15.0,8.5,8.5,7.79,2.44,0.0,43.1,1.22,18.35,18.93,3.19,2.97,43.44
12180,15.0,8.5,8.5,8.33,2.42,0.0,42.9,1.23,18.92,18.15,3.4,3.51,43.97
12240,15.0,8.5,8.5,7.0,2.41,0.0,42.7,1.22,18.03,18.22,3.15,3.23,42.63
12300,15.0,8.5,8.5,7.58,2.39,0.0,42.5,1.22,18.56,18.45,3.16,3.03,43.2
12360,15.0,8.5,8.5,7.58,2.34,0.0,42.3,1.23,18.94,18.04,3.11,3.06,43.14
12420,15.0,8.5,8.5,7.62,2.4,0.0,42.1,1.22,18.5,18.15,3.16,3.44,43.25
12480,15.0,8.5,8.5,8.83,2.34,0.0,41.8,1.24,18.8,18.86,3.22,3.53,44.41
12540,15.0,8.5,8.5,7.64,2.41,0.0,41.6,1.22,18.52,18.57,3.06,3.12,43.27
12600,15.0,8.5,8.5,7.28,2.34,0.0,41.4,1.23,18.03,18.91,3.01,2.9,42.85
12660,15.0,8.5,8.5,8.53,2.48,0.0,41.2,1.22,18.98,18.82,3.29,3.14,44.23
12720,15.0,8.5,8.5,7.32,2.5,0.0,41.0,1.21,18.72,18.38,3.03,2.89,43.03
12780,15.0,8.5,8.5,7.4,2.52,0.0,40.8,1.21,18.4,18.9,3.08,2.76,43.13
12840,15.0,8.5,8.5,7.16,2.54,0.0,40.6,1.2,18.14,18.7,3.3,2.76,42.9
12900,15.0,8.5,8.5,7.84,2.36,0.0,40.4,1.23,18.45,18.47,3.27,3.24,43.43
12960,15.0,8.5,8.5,7.74,2.36,0.0,40.2,1.23,18.29,18.09,3.27,3.66,43.32
13020,15.0,8.5,8.5,7.53,2.46,0.0,40.0,1.21,18.4,18.94,3.02,2.86,43.21
13080,15.0,8.5,8.5,7.91,2.3,0.0,39.8,1.24,18.69,18.21,3.05,3.5,43.44
13140,15.0,8.5,8.5,8.38,2.25,0.0,39.6,1.24,18.85,18.65,3.23,3.15,43.88
13200,15.0,8.5,8.5,8.3,2.33,0.0,39.4,1.23,18.77,18.43,3.3,3.36,43.86
13260,15.0,8.5,8.5,8.3,2.5,0.0,39.2,1.22,18.74,18.55,3.35,3.37,44.01
13320,15.0,8.5,8.5,7.85,2.24,0.0,39.0,1.24,18.93,18.11,3.26,3.05,43.34
13380,15.0,8.5,8.5,8.19,2.42,0.0,38.8,1.22,18.61,18.95,3.06,3.21,43.83
13440,15.0,8.5,8.5,8.5,2.29,0.0,38.6,1.24,18.75,18.82,3.07,3.39,44.03
13500,15.0,8.5,8.5,7.54,2.25,0.0,38.4,1.24,18.26,18.38,3.24,3.14,43.03
13560,15.0,8.5,8.5,8.41,2.39,0.0,38.2,1.23,18.63,18.74,3.14,3.51,44.02
13620,15.0,8.5,8.5,7.2,2.24,0.0,38.0,1.24,18.33,18.42,3.01,2.93,42.69
13680,15.0,8.5,8.5,8.29,2.23,0.0,37.8,1.25,18.57,18.42,3.06,3.72,43.76
13740,15.0,8.5,8.5,8.2,2.28,0.0,37.6,1.24,18.09,18.7,3.25,3.68,43.72
13800,15.0,8.5,8.5,6.82,2.23,0.0,37.3,1.24,18.18,18.24,3.09,2.78,42.29
13860,15.0,8.5,8.5,8.96,2.31,0.0,37.1,1.24,18.93,18.99,3.39,3.2,44.51
13920,15.0,8.5,8.5,8.97,2.35,0.0,36.9,1.24,18.89,18.84,3.33,3.5,44.56
13980,15.0,8.5,8.5,8.83,2.33,0.0,36.7,1.24,18.94,18.76,3.29,3.41,44.39
14040,15.0,8.5,8.5,7.47,2.37,0.0,36.5,1.22,18.36,18.26,3.28,3.17,43.07
14100,15.0,8.5,8.5,6.62,2.51,0.0,36.3,1.2,18.15,18.13,3.06,2.98,42.33
14160,15.0,8.5,8.5,7.95,2.41,0.0,36.1,1.22,18.58,18.22,3.2,3.59,43.59
14220,15.0,8.5,8.5,7.1,2.58,0.0,35.9,1.2,18.12,18.37,3.18,3.21,42.89
14280,15.0,8.5,8.5,8.0,2.54,0.0,35.7,1.21,18.58,18.2,3.31,3.67,43.75
14340,15.0,8.5,8.5,8.12,2.5,0.0,35.5,1.22,18.07,18.72,3.28,3.75,43.83
14400,15.0,8.5,8.5,8.13,2.48,0.0,35.3,1.22,18.81,18.59,3.3,3.14,43.83
14460,15.0,8.5,8.5,8.91,2.45,0.0,35.1,1.23,18.89,18.99,3.31,3.4,44.58
14520,15.0,8.5,8.5,7.73,2.36,0.0,34.9,1.23,18.43,18.59,3.24,3.06,43.32
14580,15.0,8.5,8.5,7.98,2.36,0.0,34.7,1.23,18.75,18.48,3.15,3.18,43.57
14640,15.0,8.5,8.5,7.08,2.41,0.0,34.5,1.22,18.3,18.29,3.37,2.76,42.7
14700,15.0,8.5,8.5,6.73,2.42,0.0,34.3,1.21,18.41,18.03,3.06,2.86,42.36
14760,15.0,8.5,8.5,6.91,2.36,0.0,34.1,1.22,18.07,18.03,3.05,3.35,42.49
14820,15.0,8.5,8.5,8.52,2.36,0.0,33.9,1.23,18.64,18.95,3.15,3.37,44.11
14880,15.0,8.5,8.5,7.34,2.42,0.0,33.7,1.22,18.28,18.44,3.16,3.1,42.98
14940,15.0,8.5,8.5,7.72,2.36,0.0,33.5,1.23,18.88,18.19,3.2,3.04,43.3
