time_sec,hour_of_day,load_mw,utilization_pct
1360,0.38,38.084,76.2
1370,0.38,38.157,76.3
1380,0.38,37.987,76.0
1390,0.39,38.297,76.6
1400,0.39,37.225,74.4
1410,0.39,37.974,75.9
1420,0.39,38.985,78.0
1430,0.4,37.951,75.9
1440,0.4,37.712,75.4
1450,0.4,37.611,75.2
1460,0.41,37.861,75.7
1470,0.41,38.471,76.9
1480,0.41,37.428,74.9
1490,0.41,38.81,77.6
1500,0.42,38.221,76.4
1510,0.42,36.638,73.3
1520,0.42,37.744,75.5
1530,0.42,37.68,75.4
1540,0.43,38.004,76.0
1550,0.43,38.295,76.6
1560,0.43,38.534,77.1
1570,0.44,36.861,73.7
1580,0.44,36.364,72.7
1590,0.44,37.187,74.4
1600,0.44,37.051,74.1
1610,0.45,37.807,75.6
1620,0.45,38.438,76.9
1630,0.45,37.307,74.6
1640,0.46,38.07,76.1
1650,0.46,38.14,76.3
1660,0.46,37.593,75.2
1670,0.46,37.633,75.3
1680,0.47,37.957,75.9
1690,0.47,37.056,74.1
1700,0.47,37.248,74.5
1710,0.47,37.53,75.1
1720,0.48,37.933,75.9
1730,0.48,37.576,75.2
1740,0.48,37.194,74.4
1750,0.49,37.545,75.1
1760,0.49,37.852,75.7
1770,0.49,37.943,75.9
1780,0.49,37.185,74.4
1790,0.5,37.28,74.6
1800,0.5,37.511,75.0
1810,0.5,37.565,75.1
1820,0.51,37.663,75.3
1830,0.51,38.115,76.2
1840,0.51,37.471,74.9
1850,0.51,37.796,75.6
1860,0.52,36.936,73.9
1870,0.52,37.93,75.9
1880,0.52,37.254,74.5
1890,0.53,37.684,75.4
1900,0.53,36.911,73.8
1910,0.53,37.457,74.9
1920,0.53,38.567,77.1
1930,0.54,37.932,75.9
1940,0.54,37.819,75.6
1950,0.54,38.312,76.6
1960,0.54,37.666,75.3
1970,0.55,37.952,75.9
1980,0.55,36.874,73.7
1990,0.55,37.815,75.6
2000,0.56,37.594,75.2
2010,0.56,37.934,75.9
2020,0.56,37.276,74.6
2030,0.56,37.861,75.7
2040,0.57,37.332,74.7
2050,0.57,37.883,75.8
2060,0.57,37.126,74.3
2070,0.57,37.155,74.3
2080,0.58,37.183,74.4
2090,0.58,37.288,74.6
2100,0.58,38.157,76.3
2110,0.59,37.72,75.4
2120,0.59,37.444,74.9
2130,0.59,37.807,75.6
2140,0.59,37.612,75.2
2150,0.6,38.482,77.0
2160,0.6,37.026,74.1
2170,0.6,36.592,73.2
2180,0.61,37.503,75.0
2190,0.61,37.408,74.8
2200,0.61,37.325,74.6
2210,0.61,36.428,72.9
2220,0.62,37.567,75.1
2230,0.62,37.524,75.0
2240,0.62,37.55,75.1
2250,0.62,36.977,74.0
2260,0.63,37.844,75.7
2270,0.63,37.345,74.7
2280,0.63,37.736,75.5
2290,0.64,37.604,75.2
2300,0.64,37.309,74.6
2310,0.64,37.094,74.2
2320,0.64,37.744,75.5
2330,0.65,37.332,74.7
2340,0.65,36.232,72.5
2350,0.65,36.763,73.5
2360,0.66,37.787,75.6
2370,0.66,37.26,74.5
2380,0.66,37.805,75.6
2390,0.66,38.556,77.1
2400,0.67,37.66,75.3
2410,0.67,37.174,74.3
2420,0.67,37.397,74.8
2430,0.68,38.127,76.3
2440,0.68,37.455,74.9
2450,0.68,38.096,76.2
2460,0.68,37.862,75.7
2470,0.69,37.806,75.6
2480,0.69,37.011,74.0
2490,0.69,37.138,74.3
2500,0.69,38.078,76.2
2510,0.7,37.823,75.6
2520,0.7,37.501,75.0
2530,0.7,36.602,73.2
2540,0.71,37.836,75.7
2550,0.71,36.994,74.0
2560,0.71,37.243,74.5
2570,0.71,37.108,74.2
2580,0.72,37.836,75.7
2590,0.72,37.521,75.0
2600,0.72,37.635,75.3
2610,0.72,36.56,73.1
2620,0.73,37.361,74.7
2630,0.73,37.698,75.4
2640,0.73,37.81,75.6
2650,0.74,37.884,75.8
2660,0.74,37.544,75.1
2670,0.74,37.073,74.1
2680,0.74,38.256,76.5
2690,0.75,37.908,75.8
2700,0.75,37.258,74.5
2710,0.75,37.17,74.3
2720,0.76,37.169,74.3
2730,0.76,37.26,74.5
2740,0.76,37.509,75.0
2750,0.76,38.051,76.1
2760,0.77,37.301,74.6
2770,0.77,38.068,76.1
2780,0.77,37.562,75.1
2790,0.78,37.845,75.7
2800,0.78,38.292,76.6
2810,0.78,36.19,72.4
2820,0.78,37.081,74.2
2830,0.79,38.036,76.1
2840,0.79,37.709,75.4
2850,0.79,37.765,75.5
2860,0.79,37.32,74.6
2870,0.8,36.661,73.3
2880,0.8,38.171,76.3
2890,0.8,37.425,74.9
2900,0.81,36.931,73.9
2910,0.81,37.905,75.8
2920,0.81,38.234,76.5
2930,0.81,38.06,76.1
2940,0.82,37.561,75.1
2950,0.82,37.51,75.0
2960,0.82,37.906,75.8
2970,0.82,37.953,75.9
2980,0.83,37.42,74.8
2990,0.83,37.084,74.2
3000,0.83,37.482,75.0
3010,0.84,37.645,75.3
3020,0.84,37.633,75.3
3030,0.84,37.571,75.1
3040,0.84,37.956,75.9
3050,0.85,36.651,73.3
3060,0.85,37.155,74.3
3070,0.85,37.643,75.3
3080,0.86,37.922,75.8
3090,0.86,37.371,74.7
3100,0.86,37.451,74.9
3110,0.86,37.369,74.7
3120,0.87,37.843,75.7
3130,0.87,37.087,74.2
3140,0.87,37.826,75.7
3150,0.88,36.976,74.0
3160,0.88,36.79,73.6
3170,0.88,37.182,74.4
3180,0.88,37.108,74.2
3190,0.89,37.225,74.5
3200,0.89,37.274,74.5
3210,0.89,38.447,76.9
3220,0.89,38.353,76.7
3230,0.9,37.956,75.9
3240,0.9,38.404,76.8
3250,0.9,37.136,74.3
3260,0.91,37.645,75.3
3270,0.91,37.854,75.7
3280,0.91,36.926,73.9
3290,0.91,36.95,73.9
3300,0.92,38.114,76.2
3310,0.92,37.42,74.8
3320,0.92,36.885,73.8
3330,0.93,37.409,74.8
3340,0.93,36.955,73.9
3350,0.93,37.243,74.5
3360,0.93,37.647,75.3
3370,0.94,36.976,74.0
3380,0.94,36.438,72.9
3390,0.94,37.794,75.6
3400,0.94,37.986,76.0
3410,0.95,38.233,76.5
3420,0.95,37.258,74.5
3430,0.95,38.276,76.6
3440,0.96,37.924,75.8
3450,0.96,37.578,75.2
3460,0.96,37.786,75.6
3470,0.96,37.857,75.7
3480,0.97,37.603,75.2
3490,0.97,37.417,74.8
3500,0.97,37.383,74.8
3510,0.97,36.944,73.9
3520,0.98,36.918,73.8
3530,0.98,37.78,75.6
3540,0.98,37.284,74.6
3550,0.99,37.628,75.3
3560,0.99,38.304,76.6
3570,0.99,38.187,76.4
3580,0.99,38.081,76.2
3590,1.0,37.873,75.7
3600,1.0,37.954,75.9
3610,1.0,37.54,75.1
3620,1.01,37.376,74.8
3630,1.01,37.102,74.2
3640,1.01,38.128,76.3
3650,1.01,38.387,76.8
3660,1.02,37.51,75.0
3670,1.02,37.336,74.7
3680,1.02,38.374,76.7
3690,1.02,36.979,74.0
3700,1.03,37.672,75.3
3710,1.03,37.569,75.1
3720,1.03,37.036,74.1
3730,1.04,37.49,75.0
3740,1.04,38.156,76.3
3750,1.04,37.203,74.4
3760,1.04,37.927,75.9
3770,1.05,37.391,74.8
3780,1.05,36.926,73.9
3790,1.05,38.439,76.9
3800,1.06,37.401,74.8
3810,1.06,37.343,74.7
3820,1.06,37.348,74.7
3830,1.06,38.153,76.3
3840,1.07,36.891,73.8
3850,1.07,38.289,76.6
3860,1.07,37.023,74.0
3870,1.07,37.401,74.8
3880,1.08,37.093,74.2
3890,1.08,37.635,75.3
3900,1.08,36.595,73.2
3910,1.09,38.06,76.1
3920,1.09,37.541,75.1
3930,1.09,37.152,74.3
3940,1.09,37.445,74.9
3950,1.1,37.472,74.9
3960,1.1,37.565,75.1
3970,1.1,38.026,76.1
3980,1.11,38.238,76.5
3990,1.11,37.86,75.7
4000,1.11,37.997,76.0
4010,1.11,36.834,73.7
4020,1.12,37.504,75.0
4030,1.12,37.869,75.7
4040,1.12,37.348,74.7
4050,1.12,37.551,75.1
4060,1.13,37.422,74.8
4070,1.13,36.549,73.1
4080,1.13,38.857,77.7
4090,1.14,37.458,74.9
4100,1.14,37.849,75.7
4110,1.14,37.015,74.0
4120,1.14,37.572,75.1
4130,1.15,37.409,74.8
4140,1.15,37.929,75.9
4150,1.15,37.363,74.7
4160,1.16,37.379,74.8
4170,1.16,37.164,74.3
4180,1.16,36.973,73.9
4190,1.16,37.19,74.4
4200,1.17,37.124,74.2
4210,1.17,38.303,76.6
4220,1.17,36.71,73.4
4230,1.18,37.527,75.1
4240,1.18,36.354,72.7
4250,1.18,37.236,74.5
4260,1.18,37.458,74.9
4270,1.19,37.786,75.6
4280,1.19,36.933,73.9
4290,1.19,37.999,76.0
4300,1.19,37.174,74.3
4310,1.2,37.145,74.3
4320,1.2,37.516,75.0
4330,1.2,37.033,74.1
4340,1.21,37.955,75.9
4350,1.21,38.242,76.5
4360,1.21,37.756,75.5
4370,1.21,37.999,76.0
4380,1.22,36.608,73.2
4390,1.22,37.144,74.3
4400,1.22,37.511,75.0
4410,1.23,37.461,74.9
4420,1.23,38.346,76.7
4430,1.23,38.282,76.6
4440,1.23,37.028,74.1
4450,1.24,37.276,74.6
4460,1.24,37.343,74.7
4470,1.24,38.017,76.0
4480,1.24,37.689,75.4
4490,1.25,38.329,76.7
4500,1.25,37.281,74.6
4510,1.25,37.279,74.6
4520,1.26,37.478,75.0
4530,1.26,37.867,75.7
4540,1.26,37.659,75.3
4550,1.26,37.422,74.8
4560,1.27,37.979,76.0
4570,1.27,37.995,76.0
4580,1.27,38.307,76.6
4590,1.27,36.352,72.7
4600,1.28,37.031,74.1
4610,1.28,37.349,74.7
4620,1.28,37.313,74.6
4630,1.29,37.687,75.4
4640,1.29,38.077,76.2
4650,1.29,37.186,74.4
4660,1.29,37.688,75.4
4670,1.3,38.19,76.4
4680,1.3,36.755,73.5
4690,1.3,37.974,75.9
4700,1.31,37.786,75.6
4710,1.31,36.406,72.8
4720,1.31,37.788,75.6
4730,1.31,38.315,76.6
4740,1.32,36.954,73.9
4750,1.32,37.425,74.8
4760,1.32,37.536,75.1
4770,1.32,38.095,76.2
4780,1.33,38.329,76.7
4790,1.33,36.948,73.9
4800,1.33,36.406,72.8
4810,1.34,37.946,75.9
4820,1.34,37.763,75.5
4830,1.34,37.839,75.7
4840,1.34,36.924,73.8
4850,1.35,37.886,75.8
4860,1.35,37.896,75.8
4870,1.35,37.057,74.1
4880,1.36,36.86,73.7
4890,1.36,36.394,72.8
4900,1.36,38.093,76.2
4910,1.36,37.768,75.5
4920,1.37,38.323,76.6
4930,1.37,37.186,74.4
4940,1.37,37.157,74.3
4950,1.38,37.119,74.2
4960,1.38,37.32,74.6
4970,1.38,37.626,75.3
4980,1.38,37.415,74.8
4990,1.39,37.257,74.5
5000,1.39,36.36,72.7
5010,1.39,38.016,76.0
5020,1.39,36.71,73.4
5030,1.4,36.892,73.8
5040,1.4,37.967,75.9
5050,1.4,37.652,75.3
5060,1.41,37.01,74.0
5070,1.41,37.697,75.4
5080,1.41,37.253,74.5
5090,1.41,37.276,74.6
5100,1.42,37.389,74.8
5110,1.42,37.394,74.8
5120,1.42,37.464,74.9
5130,1.43,36.905,73.8
5140,1.43,37.136,74.3
5150,1.43,37.029,74.1
5160,1.43,37.645,75.3
5170,1.44,37.272,74.5
5180,1.44,38.268,76.5
5190,1.44,36.793,73.6
5200,1.44,38.099,76.2
5210,1.45,37.445,74.9
5220,1.45,38.177,76.4
5230,1.45,37.68,75.4
5240,1.46,38.452,76.9
5250,1.46,38.155,76.3
5260,1.46,37.243,74.5
5270,1.46,37.631,75.3
5280,1.47,37.298,74.6
5290,1.47,37.326,74.7
5300,1.47,37.559,75.1
5310,1.48,37.064,74.1
5320,1.48,36.613,73.2
5330,1.48,37.233,74.5
5340,1.48,37.646,75.3
5350,1.49,37.298,74.6
5360,1.49,37.331,74.7
5370,1.49,37.467,74.9
5380,1.49,36.397,72.8
5390,1.5,36.889,73.8
5400,1.5,37.456,74.9
5410,1.5,37.502,75.0
5420,1.51,37.365,74.7
5430,1.51,37.929,75.9
5440,1.51,37.751,75.5
5450,1.51,37.572,75.1
5460,1.52,36.228,72.5
5470,1.52,37.422,74.8
5480,1.52,38.061,76.1
5490,1.52,37.207,74.4
5500,1.53,37.329,74.7
5510,1.53,37.468,74.9
5520,1.53,37.539,75.1
5530,1.54,36.933,73.9
5540,1.54,37.688,75.4
5550,1.54,37.044,74.1
5560,1.54,37.493,75.0
5570,1.55,36.981,74.0
5580,1.55,37.831,75.7
5590,1.55,37.852,75.7
5600,1.56,37.43,74.9
5610,1.56,37.778,75.6
5620,1.56,36.434,72.9
5630,1.56,37.669,75.3
5640,1.57,37.227,74.5
5650,1.57,36.548,73.1
5660,1.57,38.3,76.6
5670,1.57,37.732,75.5
5680,1.58,37.233,74.5
5690,1.58,37.688,75.4
5700,1.58,36.425,72.9
5710,1.59,37.738,75.5
5720,1.59,37.573,75.1
5730,1.59,36.313,72.6
5740,1.59,38.298,76.6
5750,1.6,37.36,74.7
5760,1.6,37.648,75.3
5770,1.6,37.634,75.3
5780,1.61,36.837,73.7
5790,1.61,37.911,75.8
5800,1.61,36.736,73.5
5810,1.61,38.286,76.6
5820,1.62,37.684,75.4
5830,1.62,37.252,74.5
5840,1.62,37.496,75.0
5850,1.62,37.002,74.0
5860,1.63,37.813,75.6
5870,1.63,37.504,75.0
5880,1.63,37.274,74.5
5890,1.64,36.592,73.2
5900,1.64,37.226,74.5
5910,1.64,38.035,76.1
5920,1.64,37.955,75.9
5930,1.65,37.379,74.8
5940,1.65,37.818,75.6
5950,1.65,36.86,73.7
5960,1.66,37.713,75.4
5970,1.66,36.726,73.5
5980,1.66,37.262,74.5
5990,1.66,37.32,74.6
6000,1.67,37.219,74.4
6010,1.67,37.258,74.5
6020,1.67,36.953,73.9
6030,1.68,36.638,73.3
6040,1.68,37.123,74.2
6050,1.68,37.407,74.8
6060,1.68,37.831,75.7
6070,1.69,37.254,74.5
6080,1.69,36.563,73.1
6090,1.69,37.557,75.1
6100,1.69,37.454,74.9
6110,1.7,37.979,76.0
6120,1.7,37.146,74.3
6130,1.7,36.79,73.6
6140,1.71,36.581,73.2
6150,1.71,37.479,75.0
6160,1.71,37.473,74.9
6170,1.71,37.752,75.5
6180,1.72,38.159,76.3
6190,1.72,36.497,73.0
6200,1.72,36.835,73.7
6210,1.73,36.784,73.6
6220,1.73,37.515,75.0
6230,1.73,36.943,73.9
6240,1.73,36.015,72.0
6250,1.74,38.205,76.4
6260,1.74,37.775,75.6
6270,1.74,37.821,75.6
6280,1.74,37.095,74.2
6290,1.75,37.613,75.2
6300,1.75,36.837,73.7
6310,1.75,36.879,73.8
6320,1.76,37.21,74.4
6330,1.76,37.344,74.7
6340,1.76,37.541,75.1
6350,1.76,37.09,74.2
6360,1.77,37.82,75.6
6370,1.77,36.988,74.0
6380,1.77,37.061,74.1
6390,1.77,36.968,73.9
6400,1.78,37.379,74.8
6410,1.78,37.775,75.6
6420,1.78,36.402,72.8
6430,1.79,37.258,74.5
6440,1.79,36.956,73.9
6450,1.79,36.815,73.6
6460,1.79,37.528,75.1
6470,1.8,36.831,73.7
6480,1.8,37.254,74.5
6490,1.8,37.399,74.8
6500,1.81,36.667,73.3
6510,1.81,37.468,74.9
6520,1.81,38.334,76.7
6530,1.81,37.191,74.4
6540,1.82,37.346,74.7
6550,1.82,37.091,74.2
6560,1.82,37.728,75.5
6570,1.82,37.63,75.3
6580,1.83,36.73,73.5
6590,1.83,37.506,75.0
6600,1.83,36.545,73.1
6610,1.84,37.431,74.9
6620,1.84,36.148,72.3
6630,1.84,36.961,73.9
6640,1.84,37.342,74.7
6650,1.85,37.313,74.6
6660,1.85,36.861,73.7
6670,1.85,37.158,74.3
6680,1.86,36.176,72.4
6690,1.86,37.524,75.0
6700,1.86,37.65,75.3
6710,1.86,37.118,74.2
6720,1.87,37.605,75.2
6730,1.87,37.149,74.3
6740,1.87,37.768,75.5
6750,1.88,37.895,75.8
6760,1.88,36.905,73.8
6770,1.88,37.932,75.9
6780,1.88,38.137,76.3
6790,1.89,38.428,76.9
6800,1.89,36.701,73.4
6810,1.89,37.966,75.9
6820,1.89,36.933,73.9
6830,1.9,37.399,74.8
6840,1.9,37.181,74.4
6850,1.9,37.389,74.8
6860,1.91,37.839,75.7
6870,1.91,37.522,75.0
6880,1.91,38.073,76.1
6890,1.91,37.596,75.2
6900,1.92,37.02,74.0
6910,1.92,36.748,73.5
6920,1.92,37.168,74.3
6930,1.93,37.225,74.4
6940,1.93,37.375,74.7
6950,1.93,37.569,75.1
6960,1.93,37.378,74.8
6970,1.94,37.865,75.7
6980,1.94,37.277,74.6
6990,1.94,37.029,74.1
7000,1.94,37.721,75.4
7010,1.95,36.932,73.9
7020,1.95,37.971,75.9
7030,1.95,36.885,73.8
7040,1.96,36.034,72.1
7050,1.96,37.802,75.6
7060,1.96,37.655,75.3
7070,1.96,36.971,73.9
7080,1.97,37.619,75.2
7090,1.97,37.261,74.5
7100,1.97,38.121,76.2
7110,1.98,36.909,73.8
7120,1.98,37.062,74.1
7130,1.98,37.459,74.9
7140,1.98,37.289,74.6
7150,1.99,36.918,73.8
7160,1.99,36.517,73.0
7170,1.99,37.969,75.9
7180,1.99,38.228,76.5
7190,2.0,37.213,74.4
7200,2.0,37.296,74.6
7210,2.0,38.249,76.5
7220,2.01,36.713,73.4
7230,2.01,37.602,75.2
7240,2.01,36.92,73.8
7250,2.01,37.822,75.6
7260,2.02,38.07,76.1
7270,2.02,36.924,73.8
7280,2.02,37.342,74.7
7290,2.02,37.944,75.9
7300,2.03,37.626,75.3
7310,2.03,36.892,73.8
7320,2.03,37.398,74.8
7330,2.04,37.217,74.4
7340,2.04,37.352,74.7
7350,2.04,36.87,73.7
7360,2.04,37.589,75.2
7370,2.05,37.492,75.0
7380,2.05,37.05,74.1
7390,2.05,37.862,75.7
7400,2.06,37.31,74.6
7410,2.06,37.5,75.0
7420,2.06,36.651,73.3
7430,2.06,37.308,74.6
7440,2.07,36.938,73.9
7450,2.07,37.906,75.8
7460,2.07,37.766,75.5
7470,2.08,37.571,75.1
7480,2.08,37.895,75.8
7490,2.08,36.983,74.0
7500,2.08,37.011,74.0
7510,2.09,37.798,75.6
7520,2.09,36.88,73.8
7530,2.09,37.804,75.6
7540,2.09,36.294,72.6
7550,2.1,37.414,74.8
7560,2.1,36.836,73.7
7570,2.1,38.259,76.5
7580,2.11,36.568,73.1
7590,2.11,37.791,75.6
7600,2.11,37.394,74.8
7610,2.11,36.531,73.1
7620,2.12,37.546,75.1
7630,2.12,37.393,74.8
7640,2.12,37.086,74.2
7650,2.12,37.12,74.2
7660,2.13,36.111,72.2
7670,2.13,36.613,73.2
7680,2.13,36.831,73.7
7690,2.14,36.691,73.4
7700,2.14,37.679,75.4
7710,2.14,37.988,76.0
7720,2.14,37.409,74.8
7730,2.15,37.523,75.0
7740,2.15,37.186,74.4
7750,2.15,36.815,73.6
7760,2.16,37.394,74.8
7770,2.16,37.613,75.2
7780,2.16,37.853,75.7
7790,2.16,36.639,73.3
7800,2.17,36.704,73.4
7810,2.17,37.296,74.6
7820,2.17,37.393,74.8
7830,2.17,37.396,74.8
7840,2.18,36.76,73.5
7850,2.18,37.089,74.2
7860,2.18,37.202,74.4
7870,2.19,36.784,73.6
7880,2.19,35.938,71.9
7890,2.19,37.948,75.9
7900,2.19,36.871,73.7
7910,2.2,37.208,74.4
7920,2.2,37.28,74.6
7930,2.2,36.851,73.7
7940,2.21,37.509,75.0
7950,2.21,36.602,73.2
7960,2.21,36.244,72.5
7970,2.21,36.879,73.8
7980,2.22,37.111,74.2
7990,2.22,37.189,74.4
8000,2.22,37.159,74.3
8010,2.23,37.539,75.1
8020,2.23,37.507,75.0
8030,2.23,37.562,75.1
8040,2.23,36.638,73.3
8050,2.24,37.471,74.9
8060,2.24,38.394,76.8
8070,2.24,37.524,75.0
8080,2.24,36.516,73.0
8090,2.25,37.394,74.8
8100,2.25,36.729,73.5
8110,2.25,37.755,75.5
8120,2.26,37.478,75.0
8130,2.26,37.404,74.8
8140,2.26,37.481,75.0
8150,2.26,37.177,74.4
8160,2.27,37.014,74.0
8170,2.27,36.795,73.6
8180,2.27,37.277,74.6
8190,2.27,37.456,74.9
8200,2.28,37.807,75.6
8210,2.28,37.53,75.1
8220,2.28,37.073,74.1
8230,2.29,37.531,75.1
8240,2.29,36.464,72.9
8250,2.29,38.036,76.1
8260,2.29,37.945,75.9
8270,2.3,37.563,75.1
8280,2.3,36.749,73.5
8290,2.3,37.297,74.6
8300,2.31,35.904,71.8
8310,2.31,37.29,74.6
8320,2.31,37.311,74.6
8330,2.31,36.635,73.3
8340,2.32,37.471,74.9
8350,2.32,36.814,73.6
8360,2.32,37.032,74.1
8370,2.33,37.311,74.6
8380,2.33,37.114,74.2
8390,2.33,36.883,73.8
8400,2.33,36.732,73.5
8410,2.34,38.244,76.5
8420,2.34,36.796,73.6
8430,2.34,37.557,75.1
8440,2.34,36.895,73.8
8450,2.35,36.778,73.6
8460,2.35,37.508,75.0
8470,2.35,37.182,74.4
8480,2.36,37.387,74.8
8490,2.36,37.005,74.0
8500,2.36,37.283,74.6
8510,2.36,37.346,74.7
8520,2.37,37.336,74.7
8530,2.37,36.469,72.9
8540,2.37,37.357,74.7
8550,2.38,36.508,73.0
8560,2.38,36.963,73.9
8570,2.38,37.063,74.1
8580,2.38,38.104,76.2
8590,2.39,36.948,73.9
8600,2.39,37.173,74.3
8610,2.39,37.624,75.2
8620,2.39,37.168,74.3
8630,2.4,37.485,75.0
8640,2.4,36.179,72.4
8650,2.4,37.36,74.7
8660,2.41,37.109,74.2
8670,2.41,37.227,74.5
8680,2.41,37.121,74.2
8690,2.41,37.505,75.0
8700,2.42,37.108,74.2
8710,2.42,37.545,75.1
8720,2.42,37.219,74.4
8730,2.42,37.173,74.3
8740,2.43,37.183,74.4
8750,2.43,37.441,74.9
8760,2.43,36.608,73.2
8770,2.44,36.915,73.8
8780,2.44,35.988,72.0
8790,2.44,36.587,73.2
8800,2.44,37.522,75.0
8810,2.45,37.812,75.6
8820,2.45,37.369,74.7
8830,2.45,37.928,75.9
8840,2.46,37.323,74.6
8850,2.46,37.003,74.0
8860,2.46,36.969,73.9
8870,2.46,36.647,73.3
8880,2.47,37.073,74.1
8890,2.47,37.08,74.2
8900,2.47,37.208,74.4
8910,2.48,37.263,74.5
8920,2.48,36.737,73.5
8930,2.48,37.588,75.2
8940,2.48,37.057,74.1
8950,2.49,37.28,74.6
8960,2.49,36.553,73.1
8970,2.49,36.603,73.2
8980,2.49,37.48,75.0
8990,2.5,37.352,74.7
9000,2.5,36.183,72.4
9010,2.5,37.013,74.0
9020,2.51,36.673,73.3
9030,2.51,37.136,74.3
9040,2.51,37.554,75.1
9050,2.51,37.456,74.9
9060,2.52,36.791,73.6
9070,2.52,37.127,74.3
9080,2.52,37.647,75.3
9090,2.52,37.089,74.2
9100,2.53,37.178,74.4
9110,2.53,37.061,74.1
9120,2.53,36.606,73.2
9130,2.54,36.893,73.8
9140,2.54,36.382,72.8
9150,2.54,36.145,72.3
9160,2.54,36.374,72.7
9170,2.55,37.457,74.9
9180,2.55,37.66,75.3
9190,2.55,37.151,74.3
9200,2.56,35.922,71.8
9210,2.56,37.281,74.6
9220,2.56,37.559,75.1
9230,2.56,37.066,74.1
9240,2.57,37.681,75.4
9250,2.57,37.903,75.8
9260,2.57,37.698,75.4
9270,2.58,37.588,75.2
9280,2.58,37.531,75.1
9290,2.58,37.176,74.4
9300,2.58,37.255,74.5
9310,2.59,38.046,76.1
9320,2.59,37.778,75.6
9330,2.59,36.988,74.0
9340,2.59,36.138,72.3
9350,2.6,36.559,73.1
