time_sec,hour_of_day,power_mw,irradiance_w_m2
1740,0.48,0.0,0.0
1750,0.49,0.0,0.0
1760,0.49,0.0,0.0
1770,0.49,0.0,0.0
1780,0.49,0.0,0.0
1790,0.5,0.0,0.0
1800,0.5,0.0,0.0
1810,0.5,0.0,0.0
1820,0.51,0.0,0.0
1830,0.51,0.0,0.0
1840,0.51,0.0,0.0
1850,0.51,0.0,0.0
1860,0.52,0.0,0.0
1870,0.52,0.0,0.0
1880,0.52,0.0,0.0
1890,0.53,0.0,0.0
1900,0.53,0.0,0.0
1910,0.53,0.0,0.0
1920,0.53,0.0,0.0
1930,0.54,0.0,0.0
1940,0.54,0.0,0.0
1950,0.54,0.0,0.0
1960,0.54,0.0,0.0
1970,0.55,0.0,0.0
1980,0.55,0.0,0.0
1990,0.55,0.0,0.0
2000,0.56,0.0,0.0
2010,0.56,0.0,0.0
2020,0.56,0.0,0.0
2030,0.56,0.0,0.0
2040,0.57,0.0,0.0
2050,0.57,0.0,0.0
2060,0.57,0.0,0.0
2070,0.57,0.0,0.0
2080,0.58,0.0,0.0
2090,0.58,0.0,0.0
2100,0.58,0.0,0.0
2110,0.59,0.0,0.0
2120,0.59,0.0,0.0
2130,0.59,0.0,0.0
2140,0.59,0.0,0.0
2150,0.6,0.0,0.0
2160,0.6,0.0,0.0
2170,0.6,0.0,0.0
2180,0.61,0.0,0.0
2190,0.61,0.0,0.0
2200,0.61,0.0,0.0
2210,0.61,0.0,0.0
2220,0.62,0.0,0.0
2230,0.62,0.0,0.0
2240,0.62,0.0,0.0
2250,0.62,0.0,0.0
2260,0.63,0.0,0.0
2270,0.63,0.0,0.0
2280,0.63,0.0,0.0
2290,0.64,0.0,0.0
2300,0.64,0.0,0.0
2310,0.64,0.0,0.0
2320,0.64,0.0,0.0
2330,0.65,0.0,0.0
2340,0.65,0.0,0.0
2350,0.65,0.0,0.0
2360,0.66,0.0,0.0
2370,0.66,0.0,0.0
2380,0.66,0.0,0.0
2390,0.66,0.0,0.0
2400,0.67,0.0,0.0
2410,0.67,0.0,0.0
2420,0.67,0.0,0.0
2430,0.68,0.0,0.0
2440,0.68,0.0,0.0
2450,0.68,0.0,0.0
2460,0.68,0.0,0.0
2470,0.69,0.0,0.0
2480,0.69,0.0,0.0
2490,0.69,0.0,0.0
2500,0.69,0.0,0.0
2510,0.7,0.0,0.0
2520,0.7,0.0,0.0
2530,0.7,0.0,0.0
2540,0.71,0.0,0.0
2550,0.71,0.0,0.0
2560,0.71,0.0,0.0
2570,0.71,0.0,0.0
2580,0.72,0.0,0.0
2590,0.72,0.0,0.0
2600,0.72,0.0,0.0
2610,0.72,0.0,0.0
2620,0.73,0.0,0.0
2630,0.73,0.0,0.0
2640,0.73,0.0,0.0
2650,0.74,0.0,0.0
2660,0.74,0.0,0.0
2670,0.74,0.0,0.0
2680,0.74,0.0,0.0
2690,0.75,0.0,0.0
2700,0.75,0.0,0.0
2710,0.75,0.0,0.0
2720,0.76,0.0,0.0
2730,0.76,0.0,0.0
2740,0.76,0.0,0.0
2750,0.76,0.0,0.0
2760,0.77,0.0,0.0
2770,0.77,0.0,0.0
2780,0.77,0.0,0.0
2790,0.78,0.0,0.0
2800,0.78,0.0,0.0
2810,0.78,0.0,0.0
2820,0.78,0.0,0.0
2830,0.79,0.0,0.0
2840,0.79,0.0,0.0
2850,0.79,0.0,0.0
2860,0.79,0.0,0.0
2870,0.8,0.0,0.0
2880,0.8,0.0,0.0
2890,0.8,0.0,0.0
2900,0.81,0.0,0.0
2910,0.81,0.0,0.0
2920,0.81,0.0,0.0
2930,0.81,0.0,0.0
2940,0.82,0.0,0.0
2950,0.82,0.0,0.0
2960,0.82,0.0,0.0
2970,0.82,0.0,0.0
2980,0.83,0.0,0.0
2990,0.83,0.0,0.0
3000,0.83,0.0,0.0
3010,0.84,0.0,0.0
3020,0.84,0.0,0.0
3030,0.84,0.0,0.0
3040,0.84,0.0,0.0
3050,0.85,0.0,0.0
3060,0.85,0.0,0.0
3070,0.85,0.0,0.0
3080,0.86,0.0,0.0
3090,0.86,0.0,0.0
3100,0.86,0.0,0.0
3110,0.86,0.0,0.0
3120,0.87,0.0,0.0
3130,0.87,0.0,0.0
3140,0.87,0.0,0.0
3150,0.88,0.0,0.0
3160,0.88,0.0,0.0
3170,0.88,0.0,0.0
3180,0.88,0.0,0.0
3190,0.89,0.0,0.0
3200,0.89,0.0,0.0
3210,0.89,0.0,0.0
3220,0.89,0.0,0.0
3230,0.9,0.0,0.0
3240,0.9,0.0,0.0
3250,0.9,0.0,0.0
3260,0.91,0.0,0.0
3270,0.91,0.0,0.0
3280,0.91,0.0,0.0
3290,0.91,0.0,0.0
3300,0.92,0.0,0.0
3310,0.92,0.0,0.0
3320,0.92,0.0,0.0
3330,0.93,0.0,0.0
3340,0.93,0.0,0.0
3350,0.93,0.0,0.0
3360,0.93,0.0,0.0
3370,0.94,0.0,0.0
3380,0.94,0.0,0.0
3390,0.94,0.0,0.0
3400,0.94,0.0,0.0
3410,0.95,0.0,0.0
3420,0.95,0.0,0.0
3430,0.95,0.0,0.0
3440,0.96,0.0,0.0
3450,0.96,0.0,0.0
3460,0.96,0.0,0.0
3470,0.96,0.0,0.0
3480,0.97,0.0,0.0
3490,0.97,0.0,0.0
3500,0.97,0.0,0.0
3510,0.97,0.0,0.0
3520,0.98,0.0,0.0
3530,0.98,0.0,0.0
3540,0.98,0.0,0.0
3550,0.99,0.0,0.0
3560,0.99,0.0,0.0
3570,0.99,0.0,0.0
3580,0.99,0.0,0.0
3590,1.0,0.0,0.0
3600,1.0,0.0,0.0
3610,1.0,0.0,0.0
3620,1.01,0.0,0.0
3630,1.01,0.0,0.0
3640,1.01,0.0,0.0
3650,1.01,0.0,0.0
3660,1.02,0.0,0.0
3670,1.02,0.0,0.0
3680,1.02,0.0,0.0
3690,1.02,0.0,0.0
3700,1.03,0.0,0.0
3710,1.03,0.0,0.0
3720,1.03,0.0,0.0
3730,1.04,0.0,0.0
3740,1.04,0.0,0.0
3750,1.04,0.0,0.0
3760,1.04,0.0,0.0
3770,1.05,0.0,0.0
3780,1.05,0.0,0.0
3790,1.05,0.0,0.0
3800,1.06,0.0,0.0
3810,1.06,0.0,0.0
3820,1.06,0.0,0.0
3830,1.06,0.0,0.0
3840,1.07,0.0,0.0
3850,1.07,0.0,0.0
3860,1.07,0.0,0.0
3870,1.07,0.0,0.0
3880,1.08,0.0,0.0
3890,1.08,0.0,0.0
3900,1.08,0.0,0.0
3910,1.09,0.0,0.0
3920,1.09,0.0,0.0
3930,1.09,0.0,0.0
3940,1.09,0.0,0.0
3950,1.1,0.0,0.0
3960,1.1,0.0,0.0
3970,1.1,0.0,0.0
3980,1.11,0.0,0.0
3990,1.11,0.0,0.0
4000,1.11,0.0,0.0
4010,1.11,0.0,0.0
4020,1.12,0.0,0.0
4030,1.12,0.0,0.0
4040,1.12,0.0,0.0
4050,1.12,0.0,0.0
4060,1.13,0.0,0.0
4070,1.13,0.0,0.0
4080,1.13,0.0,0.0
4090,1.14,0.0,0.0
4100,1.14,0.0,0.0
4110,1.14,0.0,0.0
4120,1.14,0.0,0.0
4130,1.15,0.0,0.0
4140,1.15,0.0,0.0
4150,1.15,0.0,0.0
4160,1.16,0.0,0.0
4170,1.16,0.0,0.0
4180,1.16,0.0,0.0
4190,1.16,0.0,0.0
4200,1.17,0.0,0.0
4210,1.17,0.0,0.0
4220,1.17,0.0,0.0
4230,1.18,0.0,0.0
4240,1.18,0.0,0.0
4250,1.18,0.0,0.0
4260,1.18,0.0,0.0
4270,1.19,0.0,0.0
4280,1.19,0.0,0.0
4290,1.19,0.0,0.0
4300,1.19,0.0,0.0
4310,1.2,0.0,0.0
4320,1.2,0.0,0.0
4330,1.2,0.0,0.0
4340,1.21,0.0,0.0
4350,1.21,0.0,0.0
4360,1.21,0.0,0.0
4370,1.21,0.0,0.0
4380,1.22,0.0,0.0
4390,1.22,0.0,0.0
4400,1.22,0.0,0.0
4410,1.23,0.0,0.0
4420,1.23,0.0,0.0
4430,1.23,0.0,0.0
4440,1.23,0.0,0.0
4450,1.24,0.0,0.0
4460,1.24,0.0,0.0
4470,1.24,0.0,0.0
4480,1.24,0.0,0.0
4490,1.25,0.0,0.0
4500,1.25,0.0,0.0
4510,1.25,0.0,0.0
4520,1.26,0.0,0.0
4530,1.26,0.0,0.0
4540,1.26,0.0,0.0
4550,1.26,0.0,0.0
4560,1.27,0.0,0.0
4570,1.27,0.0,0.0
4580,1.27,0.0,0.0
4590,1.27,0.0,0.0
4600,1.28,0.0,0.0
4610,1.28,0.0,0.0
4620,1.28,0.0,0.0
4630,1.29,0.0,0.0
4640,1.29,0.0,0.0
4650,1.29,0.0,0.0
4660,1.29,0.0,0.0
4670,1.3,0.0,0.0
4680,1.3,0.0,0.0
4690,1.3,0.0,0.0
4700,1.31,0.0,0.0
4710,1.31,0.0,0.0
4720,1.31,0.0,0.0
4730,1.31,0.0,0.0
4740,1.32,0.0,0.0
4750,1.32,0.0,0.0
4760,1.32,0.0,0.0
4770,1.32,0.0,0.0
4780,1.33,0.0,0.0
4790,1.33,0.0,0.0
4800,1.33,0.0,0.0
4810,1.34,0.0,0.0
4820,1.34,0.0,0.0
4830,1.34,0.0,0.0
4840,1.34,0.0,0.0
4850,1.35,0.0,0.0
4860,1.35,0.0,0.0
4870,1.35,0.0,0.0
4880,1.36,0.0,0.0
4890,1.36,0.0,0.0
4900,1.36,0.0,0.0
4910,1.36,0.0,0.0
4920,1.37,0.0,0.0
4930,1.37,0.0,0.0
4940,1.37,0.0,0.0
4950,1.38,0.0,0.0
4960,1.38,0.0,0.0
4970,1.38,0.0,0.0
4980,1.38,0.0,0.0
4990,1.39,0.0,0.0
5000,1.39,0.0,0.0
5010,1.39,0.0,0.0
5020,1.39,0.0,0.0
5030,1.4,0.0,0.0
5040,1.4,0.0,0.0
5050,1.4,0.0,0.0
5060,1.41,0.0,0.0
5070,1.41,0.0,0.0
5080,1.41,0.0,0.0
5090,1.41,0.0,0.0
5100,1.42,0.0,0.0
5110,1.42,0.0,0.0
5120,1.42,0.0,0.0
5130,1.43,0.0,0.0
5140,1.43,0.0,0.0
5150,1.43,0.0,0.0
5160,1.43,0.0,0.0
5170,1.44,0.0,0.0
5180,1.44,0.0,0.0
5190,1.44,0.0,0.0
5200,1.44,0.0,0.0
5210,1.45,0.0,0.0
5220,1.45,0.0,0.0
5230,1.45,0.0,0.0
5240,1.46,0.0,0.0
5250,1.46,0.0,0.0
5260,1.46,0.0,0.0
5270,1.46,0.0,0.0
5280,1.47,0.0,0.0
5290,1.47,0.0,0.0
5300,1.47,0.0,0.0
5310,1.48,0.0,0.0
5320,1.48,0.0,0.0
5330,1.48,0.0,0.0
5340,1.48,0.0,0.0
5350,1.49,0.0,0.0
5360,1.49,0.0,0.0
5370,1.49,0.0,0.0
5380,1.49,0.0,0.0
5390,1.5,0.0,0.0
5400,1.5,0.0,0.0
5410,1.5,0.0,0.0
5420,1.51,0.0,0.0
5430,1.51,0.0,0.0
5440,1.51,0.0,0.0
5450,1.51,0.0,0.0
5460,1.52,0.0,0.0
5470,1.52,0.0,0.0
5480,1.52,0.0,0.0
5490,1.52,0.0,0.0
5500,1.53,0.0,0.0
5510,1.53,0.0,0.0
5520,1.53,0.0,0.0
5530,1.54,0.0,0.0
5540,1.54,0.0,0.0
5550,1.54,0.0,0.0
5560,1.54,0.0,0.0
5570,1.55,0.0,0.0
5580,1.55,0.0,0.0
5590,1.55,0.0,0.0
5600,1.56,0.0,0.0
5610,1.56,0.0,0.0
5620,1.56,0.0,0.0
5630,1.56,0.0,0.0
5640,1.57,0.0,0.0
5650,1.57,0.0,0.0
5660,1.57,0.0,0.0
5670,1.57,0.0,0.0
5680,1.58,0.0,0.0
5690,1.58,0.0,0.0
5700,1.58,0.0,0.0
5710,1.59,0.0,0.0
5720,1.59,0.0,0.0
5730,1.59,0.0,0.0
5740,1.59,0.0,0.0
5750,1.6,0.0,0.0
5760,1.6,0.0,0.0
5770,1.6,0.0,0.0
5780,1.61,0.0,0.0
5790,1.61,0.0,0.0
5800,1.61,0.0,0.0
5810,1.61,0.0,0.0
5820,1.62,0.0,0.0
5830,1.62,0.0,0.0
5840,1.62,0.0,0.0
5850,1.62,0.0,0.0
5860,1.63,0.0,0.0
5870,1.63,0.0,0.0
5880,1.63,0.0,0.0
5890,1.64,0.0,0.0
5900,1.64,0.0,0.0
5910,1.64,0.0,0.0
5920,1.64,0.0,0.0
5930,1.65,0.0,0.0
5940,1.65,0.0,0.0
5950,1.65,0.0,0.0
5960,1.66,0.0,0.0
5970,1.66,0.0,0.0
5980,1.66,0.0,0.0
5990,1.66,0.0,0.0
6000,1.67,0.0,0.0
6010,1.67,0.0,0.0
6020,1.67,0.0,0.0
6030,1.68,0.0,0.0
6040,1.68,0.0,0.0
6050,1.68,0.0,0.0
6060,1.68,0.0,0.0
6070,1.69,0.0,0.0
6080,1.69,0.0,0.0
6090,1.69,0.0,0.0
6100,1.69,0.0,0.0
6110,1.7,0.0,0.0
6120,1.7,0.0,0.0
6130,1.7,0.0,0.0
6140,1.71,0.0,0.0
6150,1.71,0.0,0.0
6160,1.71,0.0,0.0
6170,1.71,0.0,0.0
6180,1.72,0.0,0.0
6190,1.72,0.0,0.0
6200,1.72,0.0,0.0
6210,1.73,0.0,0.0
6220,1.73,0.0,0.0
6230,1.73,0.0,0.0
6240,1.73,0.0,0.0
6250,1.74,0.0,0.0
6260,1.74,0.0,0.0
6270,1.74,0.0,0.0
6280,1.74,0.0,0.0
6290,1.75,0.0,0.0
6300,1.75,0.0,0.0
6310,1.75,0.0,0.0
6320,1.76,0.0,0.0
6330,1.76,0.0,0.0
6340,1.76,0.0,0.0
6350,1.76,0.0,0.0
6360,1.77,0.0,0.0
6370,1.77,0.0,0.0
6380,1.77,0.0,0.0
6390,1.77,0.0,0.0
6400,1.78,0.0,0.0
6410,1.78,0.0,0.0
6420,1.78,0.0,0.0
6430,1.79,0.0,0.0
6440,1.79,0.0,0.0
6450,1.79,0.0,0.0
6460,1.79,0.0,0.0
6470,1.8,0.0,0.0
6480,1.8,0.0,0.0
6490,1.8,0.0,0.0
6500,1.81,0.0,0.0
6510,1.81,0.0,0.0
6520,1.81,0.0,0.0
6530,1.81,0.0,0.0
6540,1.82,0.0,0.0
6550,1.82,0.0,0.0
6560,1.82,0.0,0.0
6570,1.82,0.0,0.0
6580,1.83,0.0,0.0
6590,1.83,0.0,0.0
6600,1.83,0.0,0.0
6610,1.84,0.0,0.0
6620,1.84,0.0,0.0
6630,1.84,0.0,0.0
6640,1.84,0.0,0.0
6650,1.85,0.0,0.0
6660,1.85,0.0,0.0
6670,1.85,0.0,0.0
6680,1.86,0.0,0.0
6690,1.86,0.0,0.0
6700,1.86,0.0,0.0
6710,1.86,0.0,0.0
6720,1.87,0.0,0.0
6730,1.87,0.0,0.0
6740,1.87,0.0,0.0
6750,1.88,0.0,0.0
6760,1.88,0.0,0.0
6770,1.88,0.0,0.0
6780,1.88,0.0,0.0
6790,1.89,0.0,0.0
6800,1.89,0.0,0.0
6810,1.89,0.0,0.0
6820,1.89,0.0,0.0
6830,1.9,0.0,0.0
6840,1.9,0.0,0.0
6850,1.9,0.0,0.0
6860,1.91,0.0,0.0
6870,1.91,0.0,0.0
6880,1.91,0.0,0.0
6890,1.91,0.0,0.0
6900,1.92,0.0,0.0
6910,1.92,0.0,0.0
6920,1.92,0.0,0.0
6930,1.93,0.0,0.0
6940,1.93,0.0,0.0
6950,1.93,0.0,0.0
6960,1.93,0.0,0.0
6970,1.94,0.0,0.0
6980,1.94,0.0,0.0
6990,1.94,0.0,0.0
7000,1.94,0.0,0.0
7010,1.95,0.0,0.0
7020,1.95,0.0,0.0
7030,1.95,0.0,0.0
7040,1.96,0.0,0.0
7050,1.96,0.0,0.0
7060,1.96,0.0,0.0
7070,1.96,0.0,0.0
7080,1.97,0.0,0.0
7090,1.97,0.0,0.0
7100,1.97,0.0,0.0
7110,1.98,0.0,0.0
7120,1.98,0.0,0.0
7130,1.98,0.0,0.0
7140,1.98,0.0,0.0
7150,1.99,0.0,0.0
7160,1.99,0.0,0.0
7170,1.99,0.0,0.0
7180,1.99,0.0,0.0
7190,2.0,0.0,0.0
7200,2.0,0.0,0.0
7210,2.0,0.0,0.0
7220,2.01,0.0,0.0
7230,2.01,0.0,0.0
7240,2.01,0.0,0.0
7250,2.01,0.0,0.0
7260,2.02,0.0,0.0
7270,2.02,0.0,0.0
7280,2.02,0.0,0.0
7290,2.02,0.0,0.0
7300,2.03,0.0,0.0
7310,2.03,0.0,0.0
7320,2.03,0.0,0.0
7330,2.04,0.0,0.0
7340,2.04,0.0,0.0
7350,2.04,0.0,0.0
7360,2.04,0.0,0.0
7370,2.05,0.0,0.0
7380,2.05,0.0,0.0
7390,2.05,0.0,0.0
7400,2.06,0.0,0.0
7410,2.06,0.0,0.0
7420,2.06,0.0,0.0
7430,2.06,0.0,0.0
7440,2.07,0.0,0.0
7450,2.07,0.0,0.0
7460,2.07,0.0,0.0
7470,2.08,0.0,0.0
7480,2.08,0.0,0.0
7490,2.08,0.0,0.0
7500,2.08,0.0,0.0
7510,2.09,0.0,0.0
7520,2.09,0.0,0.0
7530,2.09,0.0,0.0
7540,2.09,0.0,0.0
7550,2.1,0.0,0.0
7560,2.1,0.0,0.0
7570,2.1,0.0,0.0
7580,2.11,0.0,0.0
7590,2.11,0.0,0.0
7600,2.11,0.0,0.0
7610,2.11,0.0,0.0
7620,2.12,0.0,0.0
7630,2.12,0.0,0.0
7640,2.12,0.0,0.0
7650,2.12,0.0,0.0
7660,2.13,0.0,0.0
7670,2.13,0.0,0.0
7680,2.13,0.0,0.0
7690,2.14,0.0,0.0
7700,2.14,0.0,0.0
7710,2.14,0.0,0.0
7720,2.14,0.0,0.0
7730,2.15,0.0,0.0
7740,2.15,0.0,0.0
7750,2.15,0.0,0.0
7760,2.16,0.0,0.0
7770,2.16,0.0,0.0
7780,2.16,0.0,0.0
7790,2.16,0.0,0.0
7800,2.17,0.0,0.0
7810,2.17,0.0,0.0
7820,2.17,0.0,0.0
7830,2.17,0.0,0.0
7840,2.18,0.0,0.0
7850,2.18,0.0,0.0
7860,2.18,0.0,0.0
7870,2.19,0.0,0.0
7880,2.19,0.0,0.0
7890,2.19,0.0,0.0
7900,2.19,0.0,0.0
7910,2.2,0.0,0.0
7920,2.2,0.0,0.0
7930,2.2,0.0,0.0
7940,2.21,0.0,0.0
7950,2.21,0.0,0.0
7960,2.21,0.0,0.0
7970,2.21,0.0,0.0
7980,2.22,0.0,0.0
7990,2.22,0.0,0.0
8000,2.22,0.0,0.0
8010,2.23,0.0,0.0
8020,2.23,0.0,0.0
8030,2.23,0.0,0.0
8040,2.23,0.0,0.0
8050,2.24,0.0,0.0
8060,2.24,0.0,0.0
8070,2.24,0.0,0.0
8080,2.24,0.0,0.0
8090,2.25,0.0,0.0
8100,2.25,0.0,0.0
8110,2.25,0.0,0.0
8120,2.26,0.0,0.0
8130,2.26,0.0,0.0
8140,2.26,0.0,0.0
8150,2.26,0.0,0.0
8160,2.27,0.0,0.0
8170,2.27,0.0,0.0
8180,2.27,0.0,0.0
8190,2.27,0.0,0.0
8200,2.28,0.0,0.0
8210,2.28,0.0,0.0
8220,2.28,0.0,0.0
8230,2.29,0.0,0.0
8240,2.29,0.0,0.0
8250,2.29,0.0,0.0
8260,2.29,0.0,0.0
8270,2.3,0.0,0.0
8280,2.3,0.0,0.0
8290,2.3,0.0,0.0
8300,2.31,0.0,0.0
8310,2.31,0.0,0.0
8320,2.31,0.0,0.0
8330,2.31,0.0,0.0
8340,2.32,0.0,0.0
8350,2.32,0.0,0.0
8360,2.32,0.0,0.0
8370,2.33,0.0,0.0
8380,2.33,0.0,0.0
8390,2.33,0.0,0.0
8400,2.33,0.0,0.0
8410,2.34,0.0,0.0
8420,2.34,0.0,0.0
8430,2.34,0.0,0.0
8440,2.34,0.0,0.0
8450,2.35,0.0,0.0
8460,2.35,0.0,0.0
8470,2.35,0.0,0.0
8480,2.36,0.0,0.0
8490,2.36,0.0,0.0
8500,2.36,0.0,0.0
8510,2.36,0.0,0.0
8520,2.37,0.0,0.0
8530,2.37,0.0,0.0
8540,2.37,0.0,0.0
8550,2.38,0.0,0.0
8560,2.38,0.0,0.0
8570,2.38,0.0,0.0
8580,2.38,0.0,0.0
8590,2.39,0.0,0.0
8600,2.39,0.0,0.0
8610,2.39,0.0,0.0
8620,2.39,0.0,0.0
8630,2.4,0.0,0.0
8640,2.4,0.0,0.0
8650,2.4,0.0,0.0
8660,2.41,0.0,0.0
8670,2.41,0.0,0.0
8680,2.41,0.0,0.0
8690,2.41,0.0,0.0
8700,2.42,0.0,0.0
8710,2.42,0.0,0.0
8720,2.42,0.0,0.0
8730,2.42,0.0,0.0
8740,2.43,0.0,0.0
8750,2.43,0.0,0.0
8760,2.43,0.0,0.0
8770,2.44,0.0,0.0
8780,2.44,0.0,0.0
8790,2.44,0.0,0.0
8800,2.44,0.0,0.0
8810,2.45,0.0,0.0
8820,2.45,0.0,0.0
8830,2.45,0.0,0.0
8840,2.46,0.0,0.0
8850,2.46,0.0,0.0
8860,2.46,0.0,0.0
8870,2.46,0.0,0.0
8880,2.47,0.0,0.0
8890,2.47,0.0,0.0
8900,2.47,0.0,0.0
8910,2.48,0.0,0.0
8920,2.48,0.0,0.0
8930,2.48,0.0,0.0
8940,2.48,0.0,0.0
8950,2.49,0.0,0.0
8960,2.49,0.0,0.0
8970,2.49,0.0,0.0
8980,2.49,0.0,0.0
8990,2.5,0.0,0.0
9000,2.5,0.0,0.0
9010,2.5,0.0,0.0
9020,2.51,0.0,0.0
9030,2.51,0.0,0.0
9040,2.51,0.0,0.0
9050,2.51,0.0,0.0
9060,2.52,0.0,0.0
9070,2.52,0.0,0.0
9080,2.52,0.0,0.0
9090,2.52,0.0,0.0
9100,2.53,0.0,0.0
9110,2.53,0.0,0.0
9120,2.53,0.0,0.0
9130,2.54,0.0,0.0
9140,2.54,0.0,0.0
9150,2.54,0.0,0.0
9160,2.54,0.0,0.0
9170,2.55,0.0,0.0
9180,2.55,0.0,0.0
9190,2.55,0.0,0.0
9200,2.56,0.0,0.0
9210,2.56,0.0,0.0
9220,2.56,0.0,0.0
9230,2.56,0.0,0.0
9240,2.57,0.0,0.0
9250,2.57,0.0,0.0
9260,2.57,0.0,0.0
9270,2.58,0.0,0.0
9280,2.58,0.0,0.0
9290,2.58,0.0,0.0
9300,2.58,0.0,0.0
9310,2.59,0.0,0.0
9320,2.59,0.0,0.0
9330,2.59,0.0,0.0
9340,2.59,0.0,0.0
9350,2.6,0.0,0.0
